BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,8.943847387828189,20211231,164380000,311063000,MASSACHUSETTS,27821000.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,83.84314431481725,17920101,283242000,14_20211231
SM,9.139782512451076,20211231,996948,1104523,ALABAMA,100951.0,AUBURNBANK,AUBURN,99991231,35,90.26050159208998,19070103,1003572,35_20211231
NM,8.779710278537273,20211231,374169,412189,ALABAMA,36189.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,90.77607602337763,18700101,376000,39_20211231
NM,12.643432349713748,20211231,242418,285239,ALABAMA,36064.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,84.98767700069065,19040504,249175,41_20211231
NM,9.313177630616892,20211231,345793,382952,ALABAMA,35665.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.29669514717249,19070101,347287,46_20211231
NM,11.875775741410727,20211231,66576,75734,ALABAMA,8994.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,87.90767686904165,19320901,66740,49_20211231
NM,9.785798283308973,20211231,161191,181978,ALABAMA,17808.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,88.57719064941915,19080317,164170,50_20211231
NM,12.780685388627672,20211231,196239,225653,ALABAMA,28840.0,BANK OF VERNON,VERNON,99991231,51,86.96494174684139,19111111,196813,51_20211231
NM,19.467107400118465,20211231,179583,314022,ALABAMA,61131.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,57.18803141181191,19200522,252891,52_20211231
NM,12.624702015211936,20211231,314183,365371,ALABAMA,46127.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,85.99013057960265,19090310,319244,54_20211231
NM,9.736748091149835,20211231,867746,976897,ALABAMA,95118.0,UNITED BANK,ATMORE,99991231,58,88.82676474592512,19040104,881779,58_20211231
NM,12.362634440059148,20211231,82307,94001,ALABAMA,11621.0,PEOPLES EXCHANGE BANK,MONROEVILLE,99991231,70,87.55970681162967,19070823,82380,70_20211231
SM,9.92783535153246,20211231,428671,481122,ALABAMA,47765.0,CENTRAL STATE BANK,CALERA,99991231,72,89.09819131114354,19160205,433357,72_20211231
NM,18.16908297440914,20211231,172010,210583,ALABAMA,38261.0,BANKSOUTH,DOTHAN,99991231,77,81.6827569176999,19280101,172322,77_20211231
SM,14.18302669427782,20211231,133755,158873,ARKANSAS,22533.0,WARREN BANK&TRUST CO,WARREN,99991231,81,84.18988752022055,19011231,136340,81_20211231
NM,11.924736252642429,20211231,552240,706263,ARKANSAS,84220.0,GENERATIONS BANK,ROGERS,99991231,88,78.1918350529477,19071008,622043,88_20211231
