BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,9.583004101516856,20170630,79114517,234888953,MASSACHUSETTS,22509418.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,79.26097145999029,17920101,212149535,14_20170630
SM,10.38626188959952,20170630,744528,836971,ALABAMA,86930.0,AUBURNBANK,AUBURN,99991231,35,88.95505340089441,19070103,750041,35_20170630
NM,11.083750894774516,20170630,238604,279400,ALABAMA,30968.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,85.39871152469578,18700101,248432,39_20170630
NM,15.558279229226047,20170630,133506,172969,ALABAMA,26911.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,77.18492909134007,19040504,146057,41_20170630
NM,9.509783219461216,20170630,251578,279407,ALABAMA,26571.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.03997752382725,19070101,252836,46_20170630
NM,14.4615254488169,20170630,297805,378328,ALABAMA,54712.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,78.716087627667,19060106,323616,47_20170630
NM,11.755184461040418,20170630,54893,62398,ALABAMA,7335.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,87.97237090932401,19320901,55063,49_20170630
NM,10.747428700865711,20170630,123204,141271,ALABAMA,15183.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,87.21110489767892,19080317,126088,50_20170630
NM,16.667358574117124,20170630,119338,144528,ALABAMA,24089.0,BANK OF VERNON,VERNON,99991231,51,82.57085132292704,19111111,120439,51_20170630
NM,22.65722688160331,20170630,146488,229525,ALABAMA,52004.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,63.82224158588389,19200522,177521,52_20170630
NM,12.401813855214483,20170630,246628,284918,ALABAMA,35335.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,86.56104563418246,19090310,249583,54_20170630
NM,8.471835821872844,20170630,540842,595597,ALABAMA,50458.0,UNITED BANK,ATMORE,99991231,58,90.8067031902444,19040104,545139,58_20170630
NM,14.765481977147907,20170630,53884,63364,ALABAMA,9356.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,99991231,70,85.03882330660943,19070823,54008,70_20170630
SM,11.377780528276197,20170630,225567,258539,ALABAMA,29416.0,CENTRAL STATE BANK,CALERA,99991231,72,87.24679835537385,19160205,229123,72_20170630
NM,21.26505305830452,20170630,131533,167740,ALABAMA,35670.0,BANKSOUTH,DOTHAN,99991231,77,78.4148086324073,19280101,132070,77_20170630
SM,16.51222264009026,20170630,104885,132950,ARKANSAS,21953.0,WARREN BANK&TRUST CO,WARREN,99991231,81,78.89056036103798,19011231,110997,81_20170630
