BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,8.449138472298698,20151231,101723547,240898348,MASSACHUSETTS,20353835.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,82.30482634941107,17920101,220314513,14_20151231
SM,10.455816841971433,20151231,725814,818004,ALABAMA,85529.0,AUBURNBANK,AUBURN,99991231,35,88.72988396144763,19070103,732475,35_20151231
NM,10.768634955349007,20151231,224887,263376,ALABAMA,28362.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,85.38629184132192,18700101,235014,39_20151231
NM,13.913833654051743,20151231,143538,187080,ALABAMA,26030.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,76.7254650416934,19040504,161050,41_20151231
NM,9.579705101486223,20151231,229767,255749,ALABAMA,24500.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,89.84082049196674,19070101,231249,46_20151231
NM,14.85711160335822,20151231,284014,365670,ALABAMA,54328.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,77.66948341400717,19060106,311342,47_20151231
NM,10.085599671499414,20151231,56661,63318,ALABAMA,6386.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,89.4864019710035,19320901,56932,49_20151231
NM,10.093917679470708,20151231,127581,145553,ALABAMA,14692.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,87.65260764120286,19080317,130861,50_20151231
NM,15.867240661019302,20151231,120102,144020,ALABAMA,22852.0,BANK OF VERNON,VERNON,99991231,51,83.39258436328288,19111111,121168,51_20151231
NM,22.65921913683192,20151231,141897,212867,ALABAMA,48234.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,66.6599331977244,19200522,164633,52_20151231
NM,12.063562618068675,20151231,233867,269970,ALABAMA,32568.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,86.62703263325555,19090310,237402,54_20151231
NM,9.824957437893298,20151231,474543,529814,ALABAMA,52054.0,UNITED BANK,ATMORE,99991231,58,89.56784833922849,19040104,477760,58_20151231
NM,15.048229375923498,20151231,51149,60233,ALABAMA,9064.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,99991231,70,84.9185662344562,19070823,51169,70_20151231
SM,12.495895217811471,20151231,183378,213166,ALABAMA,26637.0,CENTRAL STATE BANK,CALERA,99991231,72,86.02591407635364,19160205,186529,72_20151231
NM,20.206276187406605,20151231,135723,170645,ALABAMA,34481.0,BANKSOUTH,DOTHAN,99991231,77,79.5352925664391,19280101,136164,77_20151231
SM,16.221958655616273,20151231,109655,137431,ARKANSAS,22294.0,WARREN BANK&TRUST CO,WARREN,99991231,81,79.78913054551012,19011231,115137,81_20151231
NM,9.003234663948579,20151231,332530,384584,ARKANSAS,34625.0,FIRST BANK,HAMPTON,99991231,88,86.46485553221143,19071008,349959,88_20151231
NM,11.92545620492385,20151231,408302,502899,ARKANSAS,59973.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,81.18966233776564,19330818,442926,89_20151231
SM,9.549079930844647,20151231,172772,191453,ARKANSAS,18282.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,90.24251382845921,19130101,173171,90_20151231
SM,7.297641408347726,20151231,73335,79327,ARKANSAS,5789.0,ALLIED BANK,MULBERRY,20160923,91,92.4464558094974,19020304,73538,91_20151231
NM,9.464522941717478,20151231,50041,58714,ARKANSAS,5557.0,RIVERSIDE BANK,SPARKMAN,99991231,93,85.22839527199646,19160101,53157,93_20151231
SM,10.297605925664653,20151231,101589,113405,ARKANSAS,11678.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,89.58070631806358,18900101,101727,94_20151231
NM,18.89806154409153,20151231,72013,92909,ARKANSAS,17558.0,BANK OF DELIGHT,DELIGHT,99991231,99,77.50917564498594,19110616,75351,99_20151231
NM,12.32876712328767,20151231,69058,85848,ARKANSAS,10584.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,80.4421768707483,19040810,75264,101_20151231
SM,9.205178998100761,20151231,85083,97934,ARKANSAS,9015.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,86.87789735944615,19060701,88919,105_20151231
