BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,7.28822147239947,20200331,185102000,359196000,MASSACHUSETTS,26179000.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,73.33906836379023,17920101,333017000,14_20200331
SM,11.659549737010096,20200331,750930,856877,ALABAMA,99908.0,AUBURNBANK,AUBURN,99991231,35,87.6356816672638,19070103,756969,35_20200331
NM,10.257162706017631,20200331,291721,333952,ALABAMA,34254.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,87.35417065925643,18700101,299698,39_20200331
NM,14.65405182213477,20200331,161013,196171,ALABAMA,28747.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,82.07788103236462,19040504,167424,41_20200331
NM,10.46589918939614,20200331,269885,302984,ALABAMA,31710.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,89.07566076096427,19070101,271274,46_20200331
NM,16.81345955325177,20200331,292489,364232,ALABAMA,61240.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,80.3029387862681,19060106,302992,47_20200331
NM,13.405833085046511,20200331,52117,60414,ALABAMA,8099.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,86.26642831131856,19320901,52315,49_20200331
NM,10.789478876852344,20200331,129924,152037,ALABAMA,16404.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,85.45551411827384,19080317,135632,50_20200331
NM,15.245197037957642,20200331,146467,173799,ALABAMA,26496.0,BANK OF VERNON,VERNON,99991231,51,84.27378753617685,19111111,147303,51_20200331
NM,21.622060337318867,20200331,144061,252580,ALABAMA,54613.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,57.03579064058913,19200522,197967,52_20200331
NM,14.386891785802131,20200331,251308,296791,ALABAMA,42699.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,84.67507437894007,19090310,254092,54_20200331
NM,9.9163121489099,20200331,636677,723283,ALABAMA,71723.0,UNITED BANK,ATMORE,99991231,58,88.0259870617725,19040104,651560,58_20200331
NM,14.450098630606936,20200331,59654,69958,ALABAMA,10109.0,PEOPLES EXCHANGE BANK,MONROEVILLE,99991231,70,85.27116269761858,19070823,59849,70_20200331
SM,11.263982630858544,20200331,296572,338992,ALABAMA,38184.0,CENTRAL STATE BANK,CALERA,99991231,72,87.48643035823854,19160205,300808,72_20200331
NM,21.035084666805112,20200331,140212,178169,ALABAMA,37478.0,BANKSOUTH,DOTHAN,99991231,77,78.69606946213989,19280101,140691,77_20200331
SM,18.44586770023397,20200331,100061,126939,ARKANSAS,23415.0,WARREN BANK&TRUST CO,WARREN,99991231,81,78.82605030762807,19011231,103524,81_20200331
NM,9.39746757949277,20200331,414838,535772,ARKANSAS,50349.0,GENERATIONS BANK,ROGERS,99991231,88,77.42808508096728,19071008,485423,88_20200331
NM,11.050830305628368,20200331,593851,711485,ARKANSAS,78625.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,83.46641180067043,19330818,632860,89_20200331
SM,10.40460788992473,20200331,189302,211637,ARKANSAS,22020.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,89.44655235143193,19130101,189617,90_20200331
