BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,9.000718616022256,20121231,67329021,218655019,MASSACHUSETTS,19680523.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,77.08624744625688,17920101,198744496,14_20121231
SM,10.067112328651822,20121231,638133,760367,ALABAMA,76547.0,AUBURNBANK,AUBURN,99991231,35,83.92434179810539,19070103,683820,35_20121231
NM,10.087892362803581,20121231,217163,258498,ALABAMA,26077.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,84.0095474626496,18700101,232421,39_20121231
NM,15.705559771831467,20121231,121212,163388,ALABAMA,25661.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,74.18659877102357,19040504,137727,41_20121231
NM,9.175087698734961,20121231,216052,238886,ALABAMA,21918.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.44146580377252,19070101,216968,46_20121231
NM,14.267483198395665,20121231,281348,362019,ALABAMA,51651.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,77.71636295332566,19060106,310368,47_20121231
NM,9.14046437935002,20121231,47821,53017,ALABAMA,4846.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,90.19937001339193,19320901,48171,49_20121231
NM,9.263622128686558,20121231,121801,139222,ALABAMA,12897.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,87.48689143957134,19080317,126325,50_20121231
NM,13.87536314906502,20121231,124115,146634,ALABAMA,20346.0,BANK OF VERNON,VERNON,99991231,51,84.6427158776273,19111111,126288,51_20121231
NM,22.534960136529204,20121231,133975,196295,ALABAMA,44235.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,68.25186581420822,19200522,152059,52_20121231
NM,11.388640074744245,20121231,203941,233329,ALABAMA,26573.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,87.40490894830903,19090310,206756,54_20121231
NM,10.358874795619014,20121231,415427,466653,ALABAMA,48340.0,UNITED BANK,ATMORE,99991231,58,89.02267852129955,19040104,418313,58_20121231
NM,16.790895433215194,20121231,143109,172397,ALABAMA,28947.0,CITIZENS BANK,GENEVA,20130101,59,83.01130530113633,19010101,143450,59_20121231
NM,10.478253562158024,20121231,45518,53549,ALABAMA,5611.0,PEACHTREE BANK,MAPLESVILLE,20140228,68,85.00252105548189,19190919,47938,68_20121231
NM,13.938343328335831,20121231,54954,64032,ALABAMA,8925.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,99991231,70,85.8227136431784,19070823,55107,70_20121231
SM,13.372738649917448,20121231,145080,170197,ALABAMA,22760.0,CENTRAL STATE BANK,CALERA,99991231,72,85.2423955768903,19160205,147437,72_20121231
NM,18.12215040833709,20121231,145216,179631,ALABAMA,32553.0,BANKSOUTH,DOTHAN,99991231,77,80.8412801799244,19280101,147078,77_20121231
SM,15.987001534541061,20121231,114733,144017,ARKANSAS,23024.0,WARREN BANK&TRUST CO,WARREN,99991231,81,79.6662893963907,19011231,120993,81_20121231
NM,9.599290027588602,20121231,230160,259165,ARKANSAS,24878.0,FIRST BANK,HAMPTON,99991231,88,88.80828815619392,19071008,234287,88_20121231
NM,10.555442411329741,20121231,401098,510656,ARKANSAS,53902.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,78.54563541797218,19330818,456754,89_20121231
NM,9.422901978621788,20121231,158772,175880,ARKANSAS,16573.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,90.27291335001138,19130101,159307,90_20121231
SM,8.640382378552225,20121231,131576,157331,ARKANSAS,13594.0,ALLIED BANK,MULBERRY,20160923,91,83.63005383554417,19020304,143737,91_20121231
NM,8.805142121495587,20121231,381063,431884,ARKANSAS,38028.0,DELTA TRUST&BANK,PARKDALE,20141025,92,88.23271989700939,19100201,393856,92_20121231
NM,9.326528026642052,20121231,48956,55251,ARKANSAS,5153.0,RIVERSIDE BANK,SPARKMAN,99991231,93,88.6065410580804,19160101,50098,93_20121231
NM,10.722946578052865,20121231,87669,98555,ARKANSAS,10568.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,88.95439094921618,18900101,87988,94_20121231
NM,20.05534926084215,20121231,67500,85638,ARKANSAS,17175.0,BANK OF DELIGHT,DELIGHT,99991231,99,78.82014993344076,19110616,68463,99_20121231
NM,13.005966039467646,20121231,61522,76265,ARKANSAS,9919.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,80.66872090736248,19040810,66346,101_20121231
SM,11.018933494379285,20121231,76793,94383,ARKANSAS,10400.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,81.36316921479504,19060701,83983,105_20121231
NM,7.5275052263744975,20121231,60266,65533,ARKANSAS,4933.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,91.96282788823952,18900101,60600,107_20121231
NM,10.595423913123886,20121231,120733,135181,ARKANSAS,14323.0,HORATIO STATE BANK,HORATIO,99991231,109,89.31210747072443,19050505,120858,109_20121231
NM,14.321591584179396,20121231,2968751,3893429,ARKANSAS,557601.0,BANK OF THE OZARKS,LITTLE ROCK,99991231,110,76.25029247997074,19030303,3332386,110_20121231
N,9.693431772503505,20121231,1763029,2172306,FLORIDA,210571.0,SEACOAST NATIONAL BANK,STUART,99991231,131,81.15933022327425,19330101,1961735,131_20121231
NM,7.4981169112779895,20121231,161812,175244,FLORIDA,13140.0,PERKINS STATE BANK,WILLISTON,20130118,134,92.33525826847139,19130801,162104,134_20121231
NM,9.691797451190574,20121231,193551,218298,GEORGIA,21157.0,CENTURY BANK&TRUST,MILLEDGEVILLE,99991231,147,88.6636616001979,18980101,197141,147_20121231
NM,13.424440369776146,20121231,170695,209424,GEORGIA,28114.0,BANK OF MADISON,MADISON,99991231,148,81.50689510275804,18900101,181310,148_20121231
NM,11.696182011818705,20121231,93541,106103,GEORGIA,12410.0,BANK OF HAZLEHURST,HAZLEHURST,99991231,149,88.16056096434596,19060101,93693,149_20121231
NM,10.654951310382321,20121231,111390,125078,GEORGIA,13327.0,BANK OF ALAPAHA,ALAPAHA,99991231,155,89.05642878843601,19050325,111751,155_20121231
NM,9.181653290339407,20121231,76417,84353,GEORGIA,7745.0,MONROE COUNTY BANK,FORSYTH,20140731,156,90.59191729991821,19081015,76608,156_20121231
NM,10.450856067064507,20121231,197447,225216,GEORGIA,23537.0,EXCHANGE BANK,MILLEDGEVILLE,99991231,160,87.67005896561523,19030601,201679,160_20121231
N,4.247570750302061,20121231,214001,235052,GEORGIA,9984.0,FIRST NB OF GRIFFIN,GRIFFIN,99991231,169,91.04410938856084,19330512,225068,169_20121231
NM,11.263541693990504,20121231,33738,38123,GEORGIA,4294.0,PEOPLES BANK OF TALBOTTON,TALBOTTON,99991231,170,88.49775725939722,18910101,33829,170_20121231
NM,10.91307871288182,20121231,918533,1034062,GEORGIA,112848.0,UNITED BANK,ZEBULON,99991231,172,88.82765250052704,19050131,921214,172_20121231
NM,3.643441529159496,20121231,104464,108661,GEORGIA,3959.0,PEOPLES BANK,COVINGTON,20150206,173,96.13752864413175,19100101,104702,173_20121231
NM,10.473757547607988,20121231,88254,99038,GEORGIA,10373.0,COMMERCIAL BANK,CRAWFORD,99991231,175,89.11125022718552,19240905,88666,175_20121231
NM,7.9416599924124265,20121231,65187,71169,GEORGIA,5652.0,TALBOT STATE BANK,WOODLAND,99991231,178,91.59465497618345,19071125,65517,178_20121231
NM,16.151539323687107,20121231,81147,99037,GEORGIA,15996.0,MERCHANTS&CITIZENS BANK,MCRAE,99991231,183,81.93604410472854,19290223,83041,183_20121231
NM,3.272439946711714,20121231,653863,697339,GEORGIA,22820.0,HERITAGE BANK,HINESVILLE,20190901,193,93.76544263263635,19111115,674519,193_20121231
NM,10.631036013284968,20121231,58186,65337,INDIANA,6946.0,CITIZENS EXCHANGE BANK,FAIRMOUNT,20160401,195,89.05520608537276,18930715,58391,195_20121231
NM,9.862028185670642,20121231,256488,304410,INDIANA,30021.0,ALLIANCE BANK,FRANCESVILLE,99991231,197,84.2574159850202,19300703,274389,197_20121231
NM,12.32586512866016,20121231,156614,180320,INDIANA,22226.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,99991231,210,86.853371783496,18921007,158094,210_20121231
SM,13.452996337376938,20121231,189350,230982,IOWA,31074.0,WASHINGTON STATE BANK,WASHINGTON,99991231,214,81.97608471655799,19320418,199908,214_20121231
NM,9.480440627981611,20121231,31142,34587,IOWA,3279.0,BUFFALO SAVINGS BANK,BUFFALO,20140915,219,90.0396102581895,19090401,31308,219_20121231
NM,10.739218214103282,20121231,36569,41111,IOWA,4415.0,MANSON STATE BANK,MANSON,20220514,223,88.95186203205955,19330101,36696,223_20121231
NM,9.492547406384718,20121231,31192,35491,IOWA,3369.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,20220912,225,87.88706996139867,19121017,32121,225_20121231
NM,9.388857739945971,20121231,97416,117714,IOWA,11052.0,GUTHRIE COUNTY STATE BANK,PANORA,99991231,226,82.75651154493093,19311017,106662,226_20121231
NM,11.15820838455986,20121231,505479,606782,IOWA,67706.0,AMERICAN STATE BANK,SIOUX CENTER,99991231,228,83.30487720466328,19130901,539076,228_20121231
NM,9.871301028346968,20121231,124877,144601,IOWA,14274.0,COMMUNITY STATE BANK,SPENCER,99991231,230,86.3597070559678,19140101,130327,230_20121231
SM,7.1693941037914,20121231,126759,145619,IOWA,10440.0,COMMERCIAL SAVINGS BANK,CARROLL,99991231,231,87.0483934102006,19170101,135179,231_20121231
NM,21.13617651901861,20121231,70735,91095,IOWA,19254.0,SOLON STATE BANK,SOLON,99991231,232,77.6497063505132,19320317,71841,232_20121231
NM,19.125814755984006,20121231,73152,91285,IOWA,17459.0,POCAHONTAS STATE BANK,POCAHONTAS,99991231,234,80.13583830859396,19260701,73826,234_20121231
NM,8.85586113524764,20121231,68427,98974,IOWA,8765.0,SECURITY STATE BANK,SUTHERLAND,99991231,235,69.1363388364621,19310101,90209,235_20121231
NM,7.765653755307279,20121231,189150,207027,IOWA,16077.0,RACCOON VALLEY BANK,PERRY,99991231,245,91.36489443405932,19270101,190950,245_20121231
NM,9.82951438938317,20121231,81844,100595,IOWA,9888.0,STATE SAVINGS BANK,WEST DES MOINES,99991231,248,81.35990854416222,18940704,90707,248_20121231
SM,8.844374361018211,20121231,52433,57709,IOWA,5104.0,COLUMBUS JUNCTION STATE BANK,COLUMBUS JUNCTIO,20151101,249,90.85757854060891,19270101,52605,249_20121231
NM,14.821716820430714,20121231,64576,76199,IOWA,11294.0,VALLEY BANK&TRUST,MAPLETON,99991231,251,84.74651898318875,18781003,64906,251_20121231
SM,11.417895228509213,20121231,116259,152007,IOWA,17356.0,PINNACLE BANK,MARSHALLTOWN,99991231,252,76.48266198267186,19270505,134651,252_20121231
NM,10.075899133169548,20121231,435933,510019,IOWA,51389.0,LUANA SAVINGS BANK,LUANA,99991231,253,85.47387450271461,19080801,458630,253_20121231
NM,10.209372859798455,20121231,164957,183978,IOWA,18783.0,FIRST WHITNEY BANK&TRUST,ATLANTIC,99991231,254,89.66126384676429,19070101,165195,254_20121231
NM,9.542098894674588,20121231,128205,147106,IOWA,14037.0,FARMERS&MERCHANTS SB,WAUKON,20190401,255,87.15144181746496,19251204,133069,255_20121231
NM,17.299738609668132,20121231,49933,60446,IOWA,10457.0,MELVIN SAVINGS BANK,MELVIN,20210701,256,82.60761671574629,19120101,49988,256_20121231
NM,9.541017821822843,20121231,1807709,2142654,KENTUCKY,204431.0,STOCK YARDS BANK&TRUST CO,LOUISVILLE,99991231,258,84.36775139616569,19040601,1938224,258_20121231
NM,10.799935024661094,20121231,111400,135436,KENTUCKY,14627.0,CITIZENS BANK,MOUNT VERNON,99991231,262,82.25287220532206,19040101,120809,262_20121231
NM,13.517227998124405,20121231,52358,61847,KENTUCKY,8360.0,DEPOSIT BANK OF CARLISLE,CARLISLE,20181207,266,84.65729946480832,18660101,53487,266_20121231
