BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,8.347458032884216,20210331,170422000,313281000,MASSACHUSETTS,26151000.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,79.95441791873749,17920101,287130000,14_20210331
SM,10.021340428681778,20210331,884690,992951,ALABAMA,99507.0,AUBURNBANK,AUBURN,99991231,35,89.09704507070339,19070103,893444,35_20210331
NM,9.129684141906964,20210331,354547,392708,ALABAMA,35853.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,90.28260183138616,18700101,356855,39_20210331
NM,13.68555112437291,20210331,205234,244981,ALABAMA,33527.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,83.77547646552182,19040504,211454,41_20210331
NM,9.040405086360435,20210331,349815,386288,ALABAMA,34922.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.55808101727209,19070101,351367,46_20210331
NM,12.604822183789441,20210331,60001,68807,ALABAMA,8673.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,87.20188352929208,19320901,60134,49_20210331
NM,9.910620248283482,20210331,153071,173753,ALABAMA,17220.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,88.09689616869925,19080317,156533,50_20210331
NM,12.509453800889117,20210331,188480,216844,ALABAMA,27126.0,BANK OF VERNON,VERNON,99991231,51,86.91962885761193,19111111,189718,51_20210331
NM,21.311840973527442,20210331,176014,282519,ALABAMA,60210.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,62.30165050846138,19200522,222309,52_20210331
NM,12.92198060281713,20210331,298716,348298,ALABAMA,45007.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,85.76448902950922,19090310,303291,54_20210331
NM,8.811290128134472,20210331,836337,929024,ALABAMA,81859.0,UNITED BANK,ATMORE,99991231,58,90.02318562276109,19040104,847165,58_20210331
NM,12.641225489095035,20210331,77623,89042,ALABAMA,11256.0,PEOPLES EXCHANGE BANK,MONROEVILLE,99991231,70,87.17571483120325,19070823,77787,70_20210331
SM,9.939641811804965,20210331,386453,434241,ALABAMA,43162.0,CENTRAL STATE BANK,CALERA,99991231,72,88.99505113519912,19160205,391079,72_20210331
NM,18.749015127639456,20210331,164651,203072,ALABAMA,38074.0,BANKSOUTH,DOTHAN,99991231,77,81.08010951780649,19280101,164998,77_20210331
SM,17.02807594644506,20210331,112126,138624,ARKANSAS,23605.0,WARREN BANK&TRUST CO,WARREN,99991231,81,80.8849838411819,19011231,115019,81_20210331
NM,10.253629563117693,20210331,531424,659308,ARKANSAS,67603.0,GENERATIONS BANK,ROGERS,99991231,88,80.60329921675454,19071008,591705,88_20210331
NM,10.437162539564326,20210331,684025,805650,ARKANSAS,84087.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,84.90349407310866,19330818,721563,89_20210331
SM,9.121225195872464,20210331,225130,247993,ARKANSAS,22620.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,90.78078816740796,19130101,225373,90_20210331
NM,9.016235331940202,20210331,53395,62210,ARKANSAS,5609.0,RIVERSIDE BANK,SPARKMAN,99991231,93,85.83025237100145,19160101,56601,93_20210331
SM,10.695681888267504,20210331,106855,119983,ARKANSAS,12833.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,89.05844994707583,18900101,107150,94_20210331
NM,12.367706751002316,20210331,127505,160628,ARKANSAS,19866.0,BANK OF DELIGHT,DELIGHT,99991231,99,79.37906218093981,19110616,140762,99_20210331
SM,8.200621416778253,20210331,130708,153842,ARKANSAS,12616.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,84.96249398733767,19060701,141226,105_20210331
NM,12.574947334305623,20210331,37668,43197,ARKANSAS,5432.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,87.20050003472464,18900101,37764,107_20210331
NM,11.99932118362397,20210331,212183,241597,ARKANSAS,28990.0,HORATIO STATE BANK,HORATIO,99991231,109,87.82517994842651,19050505,212607,109_20210331
NM,16.06929777776735,20210331,21296442,27276892,ARKANSAS,4383205.0,BANK OZK,LITTLE ROCK,99991231,110,78.07503142220162,19030303,22890583,110_20210331
N,12.998803982488669,20210331,7386206,8812580,FLORIDA,1145530.0,SEACOAST NATIONAL BANK,STUART,99991231,131,83.8143426783076,19330101,7666946,131_20210331
NM,9.243213035677519,20210331,307204,339990,GEORGIA,31426.0,CENTURY BANK&TRUST,MILLEDGEVILLE,99991231,147,90.35677519927057,18980101,308565,147_20210331
NM,9.604583304500265,20210331,311155,346824,GEORGIA,33311.0,BANK OF MADISON,MADISON,99991231,148,89.71553295043019,18900101,313513,148_20210331
NM,13.609617258283532,20210331,112395,130349,GEORGIA,17740.0,BANK OF HAZLEHURST,HAZLEHURST,99991231,149,86.22620810286232,19060101,112609,149_20210331
NM,8.880660652573942,20210331,202453,222810,GEORGIA,19787.0,BANK OF ALAPAHA,ALAPAHA,99991231,155,90.86351600017952,19050325,203023,155_20210331
NM,11.640517094216056,20210331,283885,322185,GEORGIA,37504.0,EXCHANGE BANK,MILLEDGEVILLE,99991231,160,88.11241988298649,19030601,284681,160_20210331
N,7.219244523346386,20210331,312268,353181,GEORGIA,25497.0,FIRST NB OF GRIFFIN,GRIFFIN,99991231,169,88.41585476002389,19330512,327684,169_20210331
NM,9.417748899460081,20210331,106855,118351,GEORGIA,11146.0,PEOPLES BANK OF GEORGIA,TALBOTTON,99991231,170,90.28652060396617,18910101,107205,170_20210331
NM,8.662523381049962,20210331,1866430,2048133,GEORGIA,177420.0,UNITED BANK,ZEBULON,99991231,172,91.1283593399452,19050131,1870713,172_20210331
NM,7.847581849778846,20210331,314997,344106,GEORGIA,27004.0,COMMERCIAL BANK,CRAWFORD,99991231,175,91.54068804380046,19240905,317102,175_20210331
NM,11.5281852902126,20210331,53911,61007,GEORGIA,7033.0,TALBOT STATE BANK,WOODLAND,99991231,178,88.36854787155572,19071125,53974,178_20210331
NM,15.821836240349327,20210331,101653,123437,GEORGIA,19530.0,MERCHANTS&CITIZENS BANK,MCRAE,99991231,183,82.35213104660677,19290223,103907,183_20210331
NM,12.527093189935561,20210331,314772,376017,INDIANA,47104.0,ALLIANCE BANK,FRANCESVILLE,99991231,197,83.7121725879415,19300703,328913,197_20210331
NM,11.712178417771533,20210331,200802,227780,INDIANA,26678.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,99991231,210,88.1561155500922,18921007,201102,210_20210331
SM,11.090457908043824,20210331,361794,427160,IOWA,47374.0,WASHINGTON STATE BANK,WASHINGTON,99991231,214,84.69753722258638,19320418,379786,214_20210331
NM,9.944820983143945,20210331,35698,39689,IOWA,3947.0,MANSON STATE BANK,MANSON,20220514,223,89.94431706518179,19330101,35742,223_20210331
NM,9.822633025231077,20210331,35846,40030,IOWA,3932.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,20220912,225,89.5478391206595,19121017,36098,225_20210331
NM,10.522339609278168,20210331,139337,169430,IOWA,17828.0,GUTHRIE COUNTY STATE BANK,PANORA,99991231,226,82.23868264179897,19311017,151603,226_20210331
NM,10.99578295007106,20210331,903725,1115946,IOWA,122707.0,AMERICAN STATE BANK,SIOUX CENTER,99991231,228,80.98286117787062,19130901,993239,228_20210331
NM,10.536495811956005,20210331,204520,244028,IOWA,25712.0,COMMUNITY STATE BANK,SPENCER,99991231,230,83.81005458390021,19140101,218317,230_20210331
SM,7.742624942904174,20210331,197518,232066,IOWA,17968.0,COMMERCIAL SAVINGS BANK,CARROLL,99991231,231,85.11285582549792,19170101,214097,231_20210331
NM,20.89228680316613,20210331,100963,129622,IOWA,27081.0,SOLON STATE BANK,SOLON,99991231,232,77.89032725926155,19320317,102541,232_20210331
NM,24.978703180623928,20210331,83366,111519,IOWA,27856.0,POCAHONTAS STATE BANK,POCAHONTAS,99991231,234,74.75497448865215,19260701,83663,234_20210331
NM,10.26441830594033,20210331,190110,267039,IOWA,27410.0,SECURITY STATE BANK,SUTHERLAND,99991231,235,71.19184838169706,19310101,239629,235_20210331
NM,8.63585358141253,20210331,320234,357359,IOWA,30861.0,RACCOON VALLEY BANK,PERRY,99991231,245,89.61128724895693,19270101,326498,245_20210331
