BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,6.092637947376039,19980331,9266492,38552020,MASSACHUSETTS,2348835.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,61.349677656319955,17920101,36203185,14_19980331
NM,56.2698244872066,19980331,100,9458,MASSACHUSETTS,5322.0,EASTERN BANK&TRUST CO,SALEM,20021122,28,1.0573059843518715,18030101,4136,28_19980331
SM,8.648679898395354,19980331,227080,276759,ALABAMA,23936.0,AUBURNBANK,AUBURN,99991231,35,82.04972557351343,19070103,252823,35_19980331
NM,10.126680382154834,19980331,120594,141932,ALABAMA,14373.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,84.96604007552912,18700101,127559,39_19980331
NM,13.499754029905386,19980331,75098,87409,ALABAMA,11800.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,85.91563797778261,19040504,75609,41_19980331
NM,15.077431019573934,19980331,10733,12721,ALABAMA,1918.0,BANK OF BERRY,BERRY,20020401,43,84.37229777533213,19110101,10803,43_19980331
NM,12.320140630251014,19980331,160500,193415,ALABAMA,23829.0,JACOBS BANK,SCOTTSBORO,19991105,45,82.98218855828141,19090101,169586,45_19980331
NM,6.698615098800878,19980331,86765,94736,ALABAMA,6346.0,MERCHANTS BANK,HANCEVILLE,20220105,46,91.58609187637224,19070101,88390,46_19980331
NM,10.372739958974202,19980331,232602,262274,ALABAMA,27205.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,88.68664068874536,19060106,235069,47_19980331
NM,9.739572305737878,19980331,12635,14169,ALABAMA,1380.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,89.17354788623051,19320901,12789,49_19980331
NM,9.418647477122702,19980331,62104,70594,ALABAMA,6649.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,87.97348216562314,19080317,63945,50_19980331
NM,10.700776582112365,19980331,55378,64771,ALABAMA,6931.0,BANK OF VERNON,VERNON,99991231,51,85.49813959951213,19111111,57840,51_19980331
NM,17.004167113956417,19980331,78878,102469,ALABAMA,17424.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,76.97742731948199,19200522,85045,52_19980331
NM,6.732985472427644,19980331,122814,133195,ALABAMA,8968.0,PEOPLES COMMUNITY BANK,COLUMBIA,20050413,53,92.2061638950411,19121021,124227,53_19980331
NM,10.094778756098929,19980331,101877,124817,ALABAMA,12600.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,81.62109328056275,19090310,112217,54_19980331
NM,7.731945568426379,19980331,461773,507867,ALABAMA,39268.0,COMMUNITY BANK,BLOUNTSVILLE,20061107,57,90.92400175636534,19230723,468599,57_19980331
NM,7.981960922683368,19980331,151583,181384,ALABAMA,14478.0,UNITED BANK,ATMORE,99991231,58,83.57021567503197,19040104,166906,58_19980331
NM,13.890761968981794,19980331,73729,86014,ALABAMA,11948.0,CITIZENS BANK,GENEVA,20130101,59,85.71744134675751,19010101,74066,59_19980331
