BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,4.171601097992791,20080930,79552690,276290703,MASSACHUSETTS,11525746.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,55.704627165829756,17920101,264764957,14_20080930
SM,7.397184917991511,20080930,526867,730778,ALABAMA,54057.0,AUBURNBANK,AUBURN,99991231,35,72.09672431299245,19070103,676721,35_20080930
NM,9.447124678511994,20080930,199260,237956,ALABAMA,22480.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,83.73817008186387,18700101,215476,39_20080930
NM,12.370825054666948,20080930,126839,180182,ALABAMA,22290.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,70.39493401116648,19040504,157892,41_20080930
NM,6.951417558551332,20080930,219062,255545,ALABAMA,17764.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,85.72345379483065,19070101,237781,46_20080930
NM,10.440295015486086,20080930,285090,359032,ALABAMA,37484.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,79.40517836850198,19060106,321548,47_20080930
NM,7.087767676332457,20080930,41051,46418,ALABAMA,3290.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,88.43767503985522,19320901,43129,49_20080930
NM,7.794331210837929,20080930,79779,98469,ALABAMA,7675.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,81.01940712305395,19080317,90794,50_20080930
NM,10.280686064381499,20080930,162860,194559,ALABAMA,20002.0,BANK OF VERNON,VERNON,99991231,51,83.70725589666887,19111111,174557,51_20080930
NM,15.069453573463038,20080930,104604,205389,ALABAMA,30951.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,50.92969925361144,19200522,174438,52_20080930
NM,11.458657117430903,20080930,191884,234853,ALABAMA,26911.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,81.70387433841594,19090310,207942,54_20080930
NM,8.877304842322935,20080930,356307,464240,ALABAMA,41212.0,UNITED BANK,ATMORE,99991231,58,76.7506031363088,19040104,423028,58_20080930
NM,16.179170560670233,20080930,125909,150873,ALABAMA,24410.0,CITIZENS BANK,GENEVA,20130101,59,83.45363318817813,19010101,126463,59_20080930
NM,18.367641123219745,20080930,54289,69372,ALABAMA,12742.0,PEACHTREE BANK,MAPLESVILLE,20140228,68,78.25779853543217,19190919,56630,68_20080930
NM,12.965037917539501,20080930,53212,61581,ALABAMA,7984.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,99991231,70,86.409769247008,19070823,53597,70_20080930
SM,12.160285285285285,20080930,135024,159840,ALABAMA,19437.0,CENTRAL STATE BANK,CALERA,99991231,72,84.47447447447448,19160205,140403,72_20080930
NM,14.32158598043864,20080930,158513,227796,ALABAMA,32624.0,BANKSOUTH,DOTHAN,99991231,77,69.58550633022529,19280101,195172,77_20080930
SM,10.300843581664804,20080930,105870,137746,ARKANSAS,14189.0,WARREN BANK&TRUST CO,WARREN,99991231,81,76.85885615553265,19011231,123557,81_20080930
NM,9.350950621678347,20080930,137899,162946,ARKANSAS,15237.0,CALHOUN COUNTY BANK,HAMPTON,99991231,88,84.6286499822027,19071008,147709,88_20080930
NM,10.24266618129317,20080930,538870,648298,ARKANSAS,66403.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,83.12072534544299,19330818,581895,89_20080930
NM,8.821742886453215,20080930,133763,148168,ARKANSAS,13071.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,90.27792775768047,19130101,135097,90_20080930
SM,10.101789901069367,20080930,112186,139896,ARKANSAS,14132.0,ALLIED BANK,MULBERRY,20160923,91,80.19242866129125,19020304,125764,91_20080930
NM,8.716874100414868,20080930,213224,236220,ARKANSAS,20591.0,DELTA TRUST&BANK,PARKDALE,20141025,92,90.26500719668105,19100201,215629,92_20080930
NM,8.095049504950495,20080930,42055,50500,ARKANSAS,4088.0,RIVERSIDE BANK,SPARKMAN,99991231,93,83.27722772277227,19160101,46412,93_20080930
NM,11.034648797223282,20080930,87732,99686,ARKANSAS,11000.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,88.00834620709026,18900101,88686,94_20080930
NM,18.609741431148528,20080930,67276,83150,ARKANSAS,15474.0,BANK OF DELIGHT,DELIGHT,99991231,99,80.90920024052917,19110616,67676,99_20080930
NM,13.75710439724798,20080930,56796,66860,ARKANSAS,9198.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,84.94765180975172,19040810,57662,101_20080930
NM,10.391699092088198,20080930,74401,96375,ARKANSAS,10015.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,77.19948119325551,19060701,86360,105_20080930
NM,11.175909830090282,20080930,31546,35666,ARKANSAS,3986.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,88.44838221275164,18900101,31680,107_20080930
NM,13.51967241061395,20080930,205294,287433,ARKANSAS,38860.0,CHAMBERS BANK OF NORTH AR,FAYETTEVILLE,20081124,108,71.42325341905766,19120601,248573,108_20080930
NM,11.212245642850625,20080930,77594,87672,ARKANSAS,9830.0,HORATIO STATE BANK,HORATIO,99991231,109,88.50488183228397,19050505,77842,109_20080930
