BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,10.735529398790353,20101231,24477930,155528576,MASSACHUSETTS,16696816.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,66.77065827439968,17920101,138831760,14_20101231
SM,7.834923743234014,20101231,607930,759867,ALABAMA,59535.0,AUBURNBANK,AUBURN,99991231,35,80.0047903119888,19070103,700332,35_20101231
NM,10.035219535102136,20101231,195606,234245,ALABAMA,23507.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,83.50487737198232,18700101,210738,39_20101231
NM,15.849439799614121,20101231,108039,147715,ALABAMA,23412.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,73.14016856785025,19040504,124303,41_20101231
NM,7.574595227520491,20101231,217966,247670,ALABAMA,18760.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,88.00662171437801,19070101,228910,46_20101231
NM,11.779987081191901,20101231,284728,356070,ALABAMA,41945.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,79.96405201224478,19060106,314125,47_20101231
NM,7.892155839819703,20101231,43878,47921,ALABAMA,3782.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,91.56319776298491,19320901,44140,49_20101231
NM,7.545314790318544,20101231,99324,111884,ALABAMA,8442.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,88.7740874477137,19080317,103442,50_20101231
NM,10.793605021932136,20101231,155104,180329,ALABAMA,19464.0,BANK OF VERNON,VERNON,99991231,51,86.01167865401571,19111111,160865,51_20101231
NM,15.956857879163882,20101231,134495,209540,ALABAMA,33436.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,64.18583563997328,19200522,176104,52_20101231
NM,10.42472309137062,20101231,215311,243853,ALABAMA,25421.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,88.29540747909601,19090310,218432,54_20101231
NM,9.737331936778027,20101231,417071,466863,ALABAMA,45460.0,UNITED BANK,ATMORE,99991231,58,89.33477272775954,19040104,421403,58_20101231
NM,15.496272354079178,20101231,142589,169544,ALABAMA,26273.0,CITIZENS BANK,GENEVA,20130101,59,84.10147218421177,19010101,143271,59_20101231
NM,9.5626518569941,20101231,49422,57620,ALABAMA,5510.0,PEACHTREE BANK,MAPLESVILLE,20140228,68,85.7723012842763,19190919,52110,68_20101231
NM,13.103273039114486,20101231,54616,62969,ALABAMA,8251.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,99991231,70,86.7347424923375,19070823,54718,70_20101231
SM,13.834173156207056,20101231,125994,148444,ALABAMA,20536.0,CENTRAL STATE BANK,CALERA,99991231,72,84.87645172590337,19160205,127908,72_20101231
NM,13.742927904387539,20101231,177937,220055,ALABAMA,30242.0,BANKSOUTH,DOTHAN,99991231,77,80.86023948558315,19280101,189813,77_20101231
SM,13.430938669849562,20101231,107204,129023,ARKANSAS,17329.0,WARREN BANK&TRUST CO,WARREN,99991231,81,83.08906164017267,19011231,111694,81_20101231
NM,9.20090881159139,20101231,222629,247356,ARKANSAS,22759.0,FIRST BANK,HAMPTON,99991231,88,90.00347677032293,19071008,224597,88_20101231
NM,11.495893351585105,20101231,400114,514288,ARKANSAS,59122.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,77.79959866845036,19330818,455166,89_20101231
NM,8.884416331224843,20101231,145106,159988,ARKANSAS,14214.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,90.69805235392654,19130101,145774,90_20101231
SM,9.732078438129287,20101231,157467,185726,ARKANSAS,18075.0,ALLIED BANK,MULBERRY,20160923,91,84.7845751267997,19020304,167651,91_20101231
NM,8.188827508788513,20101231,340415,372361,ARKANSAS,30492.0,DELTA TRUST&BANK,PARKDALE,20141025,92,91.42069121094852,19100201,341869,92_20101231
NM,7.890187038298318,20101231,48184,57261,ARKANSAS,4518.0,RIVERSIDE BANK,SPARKMAN,99991231,93,84.14802396046174,19160101,52743,93_20101231
NM,9.611522069269583,20101231,91684,102065,ARKANSAS,9810.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,89.82903051976682,18900101,92256,94_20101231
NM,19.674292082589364,20101231,66702,83449,ARKANSAS,16418.0,BANK OF DELIGHT,DELIGHT,99991231,99,79.93145514026531,19110616,67031,99_20101231
NM,11.699343877695709,20101231,60486,77577,ARKANSAS,9076.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,77.96898565296415,19040810,68501,101_20101231
NM,10.115056788138999,20101231,76528,94562,ARKANSAS,9565.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,80.92891436306338,19060701,84997,105_20101231
NM,10.129186602870814,20101231,37354,41800,ARKANSAS,4234.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,89.36363636363637,18900101,37565,107_20101231
