BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,7.930610927748753,20140331,93106599,252493360,MASSACHUSETTS,20024266.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,79.31456375724099,17920101,232239094,14_20140331
SM,9.551880243078651,20140331,689443,774235,ALABAMA,73954.0,AUBURNBANK,AUBURN,99991231,35,89.04828637300044,19070103,700281,35_20140331
NM,10.313031838607897,20140331,226666,261475,ALABAMA,26966.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,86.68744621856774,18700101,234509,39_20140331
NM,12.289798690162405,20140331,135353,173762,ALABAMA,21355.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,77.89562735235552,19040504,152407,41_20140331
NM,9.090691237613678,20140331,226402,250377,ALABAMA,22761.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.4244399445636,19070101,227616,46_20140331
NM,11.622196987240834,20140331,287850,358409,ALABAMA,41655.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,80.31327338320187,19060106,316754,47_20140331
NM,9.671125975473801,20140331,48489,53820,ALABAMA,5205.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,90.0947603121516,19320901,48615,49_20140331
NM,9.359776821117027,20140331,122565,141232,ALABAMA,13219.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,86.78274045542086,19080317,128012,50_20140331
NM,14.49683125565847,20140331,120673,143590,ALABAMA,20816.0,BANK OF VERNON,VERNON,99991231,51,84.0399749286162,19111111,122774,51_20140331
NM,20.547009214430737,20140331,140078,204896,ALABAMA,42100.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,68.3654146493831,19200522,162796,52_20140331
NM,11.171784225783297,20140331,220938,252171,ALABAMA,28172.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,87.61435692446791,19090310,223999,54_20140331
NM,9.725280858966682,20140331,441874,492685,ALABAMA,47915.0,UNITED BANK,ATMORE,99991231,58,89.68691963424907,19040104,444770,58_20140331
NM,12.747933234841103,20140331,55411,63626,ALABAMA,8111.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,99991231,70,87.08861157388489,19070823,55515,70_20140331
SM,11.923510730639888,20140331,166870,192393,ALABAMA,22940.0,CENTRAL STATE BANK,CALERA,99991231,72,86.733924830945,19160205,169452,72_20140331
NM,19.31697148162282,20140331,141309,175571,ALABAMA,33915.0,BANKSOUTH,DOTHAN,99991231,77,80.48538767791948,19280101,141656,77_20140331
SM,13.665379405746563,20140331,111404,138796,ARKANSAS,18967.0,WARREN BANK&TRUST CO,WARREN,99991231,81,80.26456093835557,19011231,119829,81_20140331
NM,9.723101632356803,20140331,280196,323765,ARKANSAS,31480.0,FIRST BANK,HAMPTON,99991231,88,86.54301731193922,19071008,292285,88_20140331
NM,11.14902555342599,20140331,395723,489406,ARKANSAS,54564.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,80.85781539253708,19330818,434841,89_20140331
SM,7.85406163364482,20140331,156973,186846,ARKANSAS,14675.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,84.01196707448915,19130101,172171,90_20140331
SM,6.429431104326895,20140331,117344,136264,ARKANSAS,8761.0,ALLIED BANK,MULBERRY,20160923,91,86.11518816415195,19020304,127503,91_20140331
NM,9.444517009499016,20140331,388626,444046,ARKANSAS,41938.0,DELTA TRUST&BANK,PARKDALE,20141025,92,87.51931106236741,19100201,402108,92_20140331
NM,9.399799405254175,20140331,50387,56831,ARKANSAS,5342.0,RIVERSIDE BANK,SPARKMAN,99991231,93,88.66111805176752,19160101,51489,93_20140331
SM,10.409640031888147,20140331,87473,97842,ARKANSAS,10185.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,89.40230167003945,18900101,87657,94_20140331
NM,22.612522097444963,20140331,59821,78629,ARKANSAS,17780.0,BANK OF DELIGHT,DELIGHT,99991231,99,76.08007223797836,19110616,60849,99_20140331
NM,12.885538919848994,20140331,64844,77878,ARKANSAS,10035.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,83.26356609055189,19040810,67843,101_20140331
SM,9.442376140408298,20140331,81533,97772,ARKANSAS,9232.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,83.3909503743403,19060701,88540,105_20140331
NM,9.270174476667908,20140331,46230,51067,ARKANSAS,4734.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,90.52812971194705,18900101,46334,107_20140331
NM,10.907281495967098,20140331,127637,143693,ARKANSAS,15673.0,HORATIO STATE BANK,HORATIO,99991231,109,88.82617803233282,19050505,128020,109_20140331
NM,13.841796606329751,20140331,3927795,5023293,ARKANSAS,695314.0,BANK OF THE OZARKS,LITTLE ROCK,99991231,110,78.19163644246912,19030303,4324516,110_20140331
N,10.968047265670585,20140331,1820071,2313730,FLORIDA,253771.0,SEACOAST NATIONAL BANK,STUART,99991231,131,78.66393226521677,19330101,2059959,131_20140331
NM,9.45538554433005,20140331,204373,228547,GEORGIA,21610.0,CENTURY BANK&TRUST,MILLEDGEVILLE,99991231,147,89.42274455582441,18980101,206937,147_20140331
NM,13.442382454338736,20140331,165910,204495,GEORGIA,27489.0,BANK OF MADISON,MADISON,99991231,148,81.13156800899777,18900101,177006,148_20140331
NM,11.924562473434237,20140331,95138,108222,GEORGIA,12905.0,BANK OF HAZLEHURST,HAZLEHURST,99991231,149,87.91003677625622,19060101,95317,149_20140331
NM,11.089780758803341,20140331,113134,127622,GEORGIA,14153.0,BANK OF ALAPAHA,ALAPAHA,99991231,155,88.64772531381738,19050325,113469,155_20140331
NM,8.328759746916713,20140331,88293,96569,GEORGIA,8043.0,MONROE COUNTY BANK,FORSYTH,20140731,156,91.4299619960857,19081015,88526,156_20140331
NM,10.346111882780287,20140331,200259,228221,GEORGIA,23612.0,EXCHANGE BANK,MILLEDGEVILLE,99991231,160,87.74784090859299,19030601,204609,160_20140331
N,3.7788928806608375,20140331,222299,239938,GEORGIA,9067.0,FIRST NB OF GRIFFIN,GRIFFIN,99991231,169,92.64851753369621,19330512,230871,169_20140331
NM,9.623197464172508,20140331,40439,44798,GEORGIA,4311.0,PEOPLES BANK OF TALBOTTON,TALBOTTON,99991231,170,90.26965489530782,18910101,40487,170_20140331
NM,10.95701763075447,20140331,914381,1029678,GEORGIA,112822.0,UNITED BANK,ZEBULON,99991231,172,88.80261596343712,19050131,916856,172_20140331
NM,2.9496929073111104,20140331,96608,99807,GEORGIA,2944.0,PEOPLES BANK,COVINGTON,20150206,173,96.79481399100264,19100101,96863,173_20140331
NM,9.578075230951736,20140331,91362,107057,GEORGIA,10254.0,COMMERCIAL BANK,CRAWFORD,99991231,175,85.33958545447751,19240905,96802,175_20140331
NM,6.159723223295373,20140331,64711,69370,GEORGIA,4273.0,TALBOT STATE BANK,WOODLAND,99991231,178,93.28384027677671,19071125,65097,178_20140331
NM,12.994293078055966,20140331,92702,108640,GEORGIA,14117.0,MERCHANTS&CITIZENS BANK,MCRAE,99991231,183,85.32952871870397,19290223,94523,183_20140331
NM,3.6456137775904236,20140331,562641,585937,GEORGIA,21361.0,HERITAGE BANK,HINESVILLE,20190901,193,96.02414594060453,19111115,564576,193_20140331
NM,10.852504667573811,20140331,56116,63202,INDIANA,6859.0,CITIZENS EXCHANGE BANK,FAIRMOUNT,20160401,195,88.7883294832442,18930715,56344,195_20140331
NM,9.46492446105313,20140331,262611,312554,INDIANA,29583.0,ALLIANCE BANK,FRANCESVILLE,99991231,197,84.02100117099765,19300703,282971,197_20140331
NM,11.43398544462607,20140331,169378,192094,INDIANA,21964.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,99991231,210,88.17453954834612,18921007,170130,210_20140331
SM,13.48168423898351,20140331,195842,236736,IOWA,31916.0,WASHINGTON STATE BANK,WASHINGTON,99991231,214,82.72590565017572,19320418,204820,214_20140331
NM,8.69827300400856,20140331,30139,33179,IOWA,2886.0,BUFFALO SAVINGS BANK,BUFFALO,20140915,219,90.83757798607553,19090401,30293,219_20140331
NM,10.47790706920773,20140331,33707,37727,IOWA,3953.0,MANSON STATE BANK,MANSON,20220514,223,89.34450128555146,19330101,33774,223_20140331
NM,7.992451573513904,20140331,33039,36034,IOWA,2880.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,20220912,225,91.68840539490482,19121017,33154,225_20140331
NM,9.570125398071994,20140331,94677,115871,IOWA,11089.0,GUTHRIE COUNTY STATE BANK,PANORA,99991231,226,81.70896945741384,19311017,104782,226_20140331
NM,11.780305988214588,20140331,540966,665908,IOWA,78446.0,AMERICAN STATE BANK,SIOUX CENTER,99991231,228,81.23734810214025,19130901,587462,228_20140331
NM,9.609079088699191,20140331,124004,141512,IOWA,13598.0,COMMUNITY STATE BANK,SPENCER,99991231,230,87.6279043473345,19140101,127914,230_20140331
SM,7.6593115989810725,20140331,126019,144073,IOWA,11035.0,COMMERCIAL SAVINGS BANK,CARROLL,99991231,231,87.4688525955592,19170101,133038,231_20140331
NM,21.97095157103214,20140331,66006,89368,IOWA,19635.0,SOLON STATE BANK,SOLON,99991231,232,73.85865186643989,19320317,69733,232_20140331
NM,19.520517105092004,20140331,79822,99941,IOWA,19509.0,POCAHONTAS STATE BANK,POCAHONTAS,99991231,234,79.86912278244164,19260701,80432,234_20140331
NM,8.901952129687219,20140331,76197,99686,IOWA,8874.0,SECURITY STATE BANK,SUTHERLAND,99991231,235,76.43701221836567,19310101,90812,235_20140331
NM,6.892713672844508,20140331,214609,234494,IOWA,16163.0,RACCOON VALLEY BANK,PERRY,99991231,245,91.52003889225311,19270101,218331,245_20140331
NM,9.608082581236047,20140331,86458,104818,IOWA,10071.0,STATE SAVINGS BANK,WEST DES MOINES,99991231,248,82.48392451678147,18940704,94747,248_20140331
SM,6.89072305838773,20140331,51627,55611,IOWA,3832.0,COLUMBUS JUNCTION STATE BANK,COLUMBUS JUNCTIO,20151101,249,92.83594972217728,19270101,51780,249_20140331
NM,17.21603890811432,20140331,61697,74843,IOWA,12885.0,VALLEY BANK&TRUST,MAPLETON,99991231,251,82.43523108373529,18781003,61958,251_20140331
