BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,9.540762206056197,20091231,17962958,153740526,MASSACHUSETTS,14668018.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,61.59220373683384,17920101,139072508,14_20091231
SM,7.702276561837887,20091231,580174,769318,ALABAMA,59255.0,AUBURNBANK,AUBURN,99991231,35,75.41406804468373,19070103,710063,35_20091231
NM,9.695738648385595,20091231,197149,236310,ALABAMA,22912.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,83.42812407430917,18700101,213398,39_20091231
NM,16.6842727964168,20091231,102124,141996,ALABAMA,23691.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,71.9203357841066,19040504,118305,41_20091231
NM,7.531534774143939,20091231,210358,244492,ALABAMA,18414.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,86.03880699572993,19070101,226078,46_20091231
NM,11.607057217172487,20091231,282693,354474,ALABAMA,41144.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,79.74999576837793,19060106,313330,47_20091231
NM,6.864646464646465,20091231,44352,49500,ALABAMA,3398.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,89.60000000000001,19320901,46102,49_20091231
NM,7.183489174103174,20091231,95179,112508,ALABAMA,8082.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,84.59753973050806,19080317,104426,50_20091231
NM,9.256142712891283,20091231,162966,187173,ALABAMA,17325.0,BANK OF VERNON,VERNON,99991231,51,87.06704492635156,19111111,169848,51_20091231
NM,16.41910098150796,20091231,129790,205602,ALABAMA,33758.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,63.126817832511364,19200522,171844,52_20091231
NM,10.338464782792071,20091231,207612,246584,ALABAMA,25493.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,84.19524381143951,19090310,221091,54_20091231
NM,10.257421404315917,20091231,405366,456450,ALABAMA,46820.0,UNITED BANK,ATMORE,99991231,58,88.80841275057509,19040104,409630,58_20091231
NM,15.355106593951412,20091231,135765,161360,ALABAMA,24777.0,CITIZENS BANK,GENEVA,20130101,59,84.13795240456123,19010101,136583,59_20091231
NM,9.251609767950432,20091231,55597,65848,ALABAMA,6092.0,PEACHTREE BANK,MAPLESVILLE,20140228,68,84.43232900012148,19190919,59756,68_20091231
NM,13.99276236429433,20091231,49811,58030,ALABAMA,8120.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,99991231,70,85.83663622264346,19070823,49910,70_20091231
SM,13.096284718830386,20091231,131677,153555,ALABAMA,20110.0,CENTRAL STATE BANK,CALERA,99991231,72,85.75233629644102,19160205,133445,72_20091231
NM,14.323993658671078,20091231,179994,232128,ALABAMA,33250.0,BANKSOUTH,DOTHAN,99991231,77,77.54083953680728,19280101,198878,77_20091231
SM,13.375301966179787,20091231,101037,125014,ARKANSAS,16721.0,WARREN BANK&TRUST CO,WARREN,99991231,81,80.82054809861296,19011231,108293,81_20091231
NM,9.996609786416544,20091231,146902,176980,ARKANSAS,17692.0,CALHOUN COUNTY BANK,HAMPTON,99991231,88,83.0048593061363,19071008,159288,88_20091231
NM,9.790802469308465,20091231,585298,715018,ARKANSAS,70006.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,81.85779938407146,19330818,645012,89_20091231
NM,9.464025082436889,20091231,133243,147992,ARKANSAS,14006.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,90.03392075247311,19130101,133986,90_20091231
SM,8.898728506943248,20091231,137404,174126,ARKANSAS,15495.0,ALLIED BANK,MULBERRY,20160923,91,78.91067387983415,19020304,158631,91_20091231
NM,9.623958032697825,20091231,265192,294515,ARKANSAS,28344.0,DELTA TRUST&BANK,PARKDALE,20141025,92,90.04363105444544,19100201,266171,92_20091231
NM,7.924078952116336,20091231,45864,55426,ARKANSAS,4392.0,RIVERSIDE BANK,SPARKMAN,99991231,93,82.74816872947714,19160101,51034,93_20091231
NM,9.635874925067197,20091231,92474,103426,ARKANSAS,9966.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,89.41078645601687,18900101,93460,94_20091231
NM,18.864542778463584,20091231,68084,84248,ARKANSAS,15893.0,BANK OF DELIGHT,DELIGHT,99991231,99,80.81378786440034,19110616,68355,99_20091231
NM,12.967323264227876,20091231,59936,69652,ARKANSAS,9032.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,86.0506518118647,19040810,60620,101_20091231
NM,10.823999341129962,20091231,77889,97136,ARKANSAS,10514.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,80.18551309504201,19060701,86622,105_20091231
NM,10.280827907880672,20091231,36711,41164,ARKANSAS,4232.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,89.18229520940628,18900101,36932,107_20091231
NM,10.008419870895313,20091231,96024,106890,ARKANSAS,10698.0,HORATIO STATE BANK,HORATIO,99991231,109,89.8344092057255,19050505,96192,109_20091231
NM,11.2572054084934,20091231,2037431,2755222,ARKANSAS,310161.0,BANK OF THE OZARKS,LITTLE ROCK,99991231,110,73.94797950945514,19030303,2441619,110_20091231
N,8.918942430838525,20091231,1787268,2149571,FLORIDA,191719.0,SEACOAST NATIONAL BANK,STUART,99991231,131,83.14533458071402,19330101,1957852,131_20091231
NM,9.12101035884346,20091231,169919,195099,FLORIDA,17795.0,PERKINS STATE BANK,WILLISTON,20130118,134,87.09373190021476,19130801,177304,134_20091231
NM,9.356354263912001,20091231,175832,197096,GEORGIA,18441.0,CENTURY BANK&TRUST,MILLEDGEVILLE,99991231,147,89.21134878434874,18980101,178655,147_20091231
NM,11.15692686857197,20091231,194740,232089,GEORGIA,25894.0,BANK OF MADISON,MADISON,99991231,148,83.90746653223547,18900101,206195,148_20091231
NM,14.424228726409764,20091231,75493,88490,GEORGIA,12764.0,BANK OF HAZLEHURST,HAZLEHURST,99991231,149,85.31246468527517,19060101,75726,149_20091231
NM,3.4125133532654353,20091231,391541,455881,GEORGIA,15557.0,HABERSHAM BANK,CLARKESVILLE,20110218,151,85.88666779269151,19040513,440324,151_20091231
NM,11.523447054564667,20091231,89761,102209,GEORGIA,11778.0,BANK OF ALAPAHA,ALAPAHA,99991231,155,87.82103337279496,19050325,90431,155_20091231
NM,8.40806426489241,20091231,82002,89878,GEORGIA,7557.0,MONROE COUNTY BANK,FORSYTH,20140731,156,91.23701016934066,19081015,82321,156_20091231
NM,10.305532187985118,20091231,197046,230614,GEORGIA,23766.0,EXCHANGE BANK,MILLEDGEVILLE,99991231,160,85.44407538137321,19030601,206848,160_20091231
N,8.512436350094177,20091231,240929,279262,GEORGIA,23772.0,FIRST NB OF GRIFFIN,GRIFFIN,99991231,169,86.2734636291368,19330512,255490,169_20091231
NM,11.065366558324305,20091231,24576,27690,GEORGIA,3064.0,PEOPLES BANK OF TALBOTTON,TALBOTTON,99991231,170,88.75406283856988,18910101,24627,170_20091231
NM,10.042884346209055,20091231,784553,895898,GEORGIA,89974.0,UNITED BANK,ZEBULON,99991231,172,87.57168784839345,19050131,805924,172_20091231
NM,5.8246802997365155,20091231,150753,160541,GEORGIA,9351.0,PEOPLES BANK,COVINGTON,20150206,173,93.90311509209485,19100101,151189,173_20091231
NM,10.75031973852494,20091231,87311,98518,GEORGIA,10591.0,COMMERCIAL BANK,CRAWFORD,99991231,175,88.62441381270428,19240905,87926,175_20091231
NM,6.479812890610023,20091231,70075,78243,GEORGIA,5070.0,TALBOT STATE BANK,WOODLAND,99991231,178,89.5607274772184,19071125,73173,178_20091231
NM,3.248046138640092,20091231,433291,490695,GEORGIA,15938.0,PEOPLES BANK,WINDER,20100917,182,88.30149074272205,19261030,474757,182_20091231
NM,12.446120170101155,20091231,89295,103703,GEORGIA,12907.0,MERCHANTS&CITIZENS BANK,MCRAE,99991231,183,86.10647715109495,19290223,90796,183_20091231
NM,7.2593132505488835,20091231,475291,562505,GEORGIA,40834.0,COMMERCIAL BANK,THOMASVILLE,20100601,190,84.49542670731816,19160722,521671,190_20091231
NM,9.024125978093954,20091231,823982,982012,GEORGIA,88618.0,HERITAGE BANK,HINESVILLE,20190901,193,83.9075286249048,19111115,893394,193_20091231
NM,12.705085226768833,20091231,48979,56379,INDIANA,7163.0,CITIZENS EXCHANGE BANK,FAIRMOUNT,20160401,195,86.87454548679473,18930715,49216,195_20091231
NM,9.395345838973764,20091231,218890,279234,INDIANA,26235.0,ALLIANCE BANK,FRANCESVILLE,99991231,197,78.38945114133665,19300703,253000,197_20091231
NM,13.523737338937506,20091231,122073,145130,INDIANA,19627.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,99991231,210,84.11286432853305,18921007,125503,210_20091231
SM,12.833043059364115,20091231,173016,215888,IOWA,27705.0,WASHINGTON STATE BANK,WASHINGTON,99991231,214,80.1415548803083,19320418,188183,214_20091231
NM,9.549769965162353,20091231,33761,37603,IOWA,3591.0,BUFFALO SAVINGS BANK,BUFFALO,20140915,219,89.7827301013217,19090401,34012,219_20091231
NM,10.711426441763521,20091231,30869,36223,IOWA,3880.0,MANSON STATE BANK,MANSON,20220514,223,85.21933578113354,19330101,32343,223_20091231
NM,9.849510910458992,20091231,23777,26580,IOWA,2618.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,20220912,225,89.45447705041386,19121017,23962,225_20091231
NM,7.617601500081526,20091231,79245,98128,IOWA,7475.0,GUTHRIE COUNTY STATE BANK,PANORA,99991231,226,80.75676667210175,19311017,90653,226_20091231
NM,9.613451954363853,20091231,403943,485580,IOWA,46681.0,AMERICAN STATE BANK,SIOUX CENTER,99991231,228,83.18773425594135,19130901,438899,228_20091231
NM,7.6674911280782885,20091231,99915,120887,IOWA,9269.0,COMMUNITY STATE BANK,SPENCER,99991231,230,82.65156716603109,19140101,111618,230_20091231
SM,8.903823482999007,20091231,93220,107729,IOWA,9592.0,COMMERCIAL SAVINGS BANK,CARROLL,99991231,231,86.53194590128935,19170101,98137,231_20091231
NM,18.37844748433886,20091231,61430,86041,IOWA,15813.0,SOLON STATE BANK,SOLON,99991231,232,71.39619483734498,19320317,70228,232_20091231
NM,17.760402862443676,20091231,61482,75460,IOWA,13402.0,POCAHONTAS STATE BANK,POCAHONTAS,99991231,234,81.4762788232176,19260701,62058,234_20091231
NM,8.108531548212506,20091231,59891,70210,IOWA,5693.0,SECURITY STATE BANK,SUTHERLAND,99991231,235,85.30266343825666,19310101,64517,235_20091231
NM,7.471139658015797,20091231,40951,46084,IOWA,3443.0,FIRST STATE BANK OF MAPLETON,MAPLETON,20120423,236,88.86164395451783,18890101,42641,236_20091231
NM,9.20934464585352,20091231,149062,169252,IOWA,15587.0,RACCOON VALLEY BANK,PERRY,99991231,245,88.07104199654952,19270101,153665,245_20091231
NM,9.676094101366546,20091231,70338,92496,IOWA,8950.0,STATE SAVINGS BANK,WEST DES MOINES,99991231,248,76.04436948624806,18940704,83546,248_20091231
