BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,9.945745565002117,20090331,25767470,142457847,MASSACHUSETTS,14168495.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,61.517678278543684,17920101,128281956,14_20090331
SM,7.268036662662755,20090331,609522,800051,ALABAMA,58148.0,AUBURNBANK,AUBURN,99991231,35,76.18539318118471,19070103,741903,35_20090331
NM,9.22277810354364,20090331,201898,240459,ALABAMA,22177.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,83.96358630785289,18700101,218282,39_20090331
NM,14.802266061897736,20090331,108879,164691,ALABAMA,24378.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,66.11108075122503,19040504,140313,41_20090331
NM,7.1187482015507495,20090331,222832,257166,ALABAMA,18307.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,86.64909047074653,19070101,238859,46_20090331
NM,11.110020582940276,20090331,286675,356606,ALABAMA,39619.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,80.38984201051021,19060106,316987,47_20090331
NM,6.85650345333179,20090331,46398,51834,ALABAMA,3554.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,89.51267507813404,19320901,48281,49_20090331
NM,7.778310330323867,20090331,84960,102233,ALABAMA,7952.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,83.10428139641799,19080317,94281,50_20090331
NM,10.08364070860824,20090331,161204,192490,ALABAMA,19410.0,BANK OF VERNON,VERNON,99991231,51,83.74668813964362,19111111,173080,51_20090331
NM,15.839463260851993,20090331,123800,197936,ALABAMA,31352.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,62.545469242583465,19200522,166584,52_20090331
NM,10.748392436493283,20090331,210304,251312,ALABAMA,27012.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,83.68243458330682,19090310,224300,54_20090331
NM,10.153279289612135,20090331,444924,500459,ALABAMA,50813.0,UNITED BANK,ATMORE,99991231,58,88.90318687444926,19040104,449646,58_20090331
NM,15.986235145320657,20090331,130246,155759,ALABAMA,24900.0,CITIZENS BANK,GENEVA,20130101,59,83.62020814206562,19010101,130859,59_20090331
NM,13.22851681164145,20090331,53832,67483,ALABAMA,8927.0,PEACHTREE BANK,MAPLESVILLE,20140228,68,79.77120163596759,19190919,58556,68_20090331
NM,13.666280180057292,20090331,50444,58648,ALABAMA,8015.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,99991231,70,86.01145819124267,19070823,50633,70_20090331
SM,11.716058317405531,20090331,137162,161667,ALABAMA,18941.0,CENTRAL STATE BANK,CALERA,99991231,72,84.84229929422827,19160205,142726,72_20090331
NM,14.005402309658338,20090331,172700,233974,ALABAMA,32769.0,BANKSOUTH,DOTHAN,99991231,77,73.81162009454042,19280101,201205,77_20090331
SM,11.716598826768825,20090331,103212,133648,ARKANSAS,15659.0,WARREN BANK&TRUST CO,WARREN,99991231,81,77.2267448820783,19011231,117989,81_20090331
NM,9.604098421786347,20090331,144762,174311,ARKANSAS,16741.0,CALHOUN COUNTY BANK,HAMPTON,99991231,88,83.04811515050685,19071008,157570,88_20090331
NM,10.093789075748907,20090331,560610,686967,ARKANSAS,69341.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,81.60654005214224,19330818,617626,89_20090331
NM,9.468352095697941,20090331,136312,151811,ARKANSAS,14374.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,89.79059488442867,19130101,137437,90_20090331
SM,10.120935631470259,20090331,117541,148178,ARKANSAS,14997.0,ALLIED BANK,MULBERRY,20160923,91,79.32419117547815,19020304,133181,91_20090331
NM,8.69241897207503,20090331,223745,246088,ARKANSAS,21391.0,DELTA TRUST&BANK,PARKDALE,20141025,92,90.92072754461819,19100201,224697,92_20090331
NM,8.220824486198469,20090331,41028,49922,ARKANSAS,4104.0,RIVERSIDE BANK,SPARKMAN,99991231,93,82.18420736348703,19160101,45819,93_20090331
NM,10.067249022426394,20090331,88472,99481,ARKANSAS,10015.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,88.93356520340568,18900101,89466,94_20090331
NM,18.41932284010374,20090331,67930,83673,ARKANSAS,15412.0,BANK OF DELIGHT,DELIGHT,99991231,99,81.18508957489273,19110616,68261,99_20090331
NM,13.44508056424482,20090331,57734,67772,ARKANSAS,9112.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,85.18857345216313,19040810,58660,101_20090331
NM,10.824170070164415,20090331,75660,95490,ARKANSAS,10336.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,79.23342758404021,19060701,85154,105_20090331
NM,10.633162254179581,20090331,34913,39358,ARKANSAS,4185.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,88.70623507292036,18900101,35173,107_20090331
