BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,9.353196790431227,20180331,115451620,247203427,MASSACHUSETTS,23121423.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,79.31160679257087,17920101,224082004,14_20180331
SM,10.458936965632052,20180331,738477,831356,ALABAMA,86951.0,AUBURNBANK,AUBURN,99991231,35,88.82801110474935,19070103,744406,35_20180331
NM,10.24862320483245,20180331,256307,299972,ALABAMA,30743.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,85.44364140653128,18700101,269229,39_20180331
NM,15.29028159052494,20180331,136572,166838,ALABAMA,25510.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,81.85904889773313,19040504,141328,41_20180331
NM,8.618314003808205,20180331,262755,288850,ALABAMA,24894.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.96589925566903,19070101,263956,46_20180331
NM,13.90102210186075,20180331,293411,366304,ALABAMA,50920.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,80.10040840394863,19060106,315384,47_20180331
NM,11.741435496684446,20180331,54326,61679,ALABAMA,7242.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,88.07860049611699,19320901,54437,49_20180331
NM,10.437661058850642,20180331,124025,143193,ALABAMA,14946.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,86.61387078977324,19080317,128247,50_20180331
NM,16.50664545242569,20180331,120687,145814,ALABAMA,24069.0,BANK OF VERNON,VERNON,99991231,51,82.76777264185881,19111111,121745,51_20180331
NM,21.856598394673828,20180331,145768,230109,ALABAMA,50294.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,63.347370159359265,19200522,179815,52_20180331
NM,12.735923869944488,20180331,243812,283725,ALABAMA,36135.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,85.93250506652569,19090310,247590,54_20180331
NM,8.37709057831808,20180331,553474,609042,ALABAMA,51020.0,UNITED BANK,ATMORE,99991231,58,90.87616289188595,19040104,558022,58_20180331
