BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,11.171584313923114,20190630,107288000,238122000,MASSACHUSETTS,26602000.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,73.69751639915674,17920101,211520000,14_20190630
SM,11.007483784340357,20190630,742860,840083,ALABAMA,92472.0,AUBURNBANK,AUBURN,99991231,35,88.426976858239,19070103,747611,35_20190630
NM,10.584842350461718,20190630,278014,324549,ALABAMA,34353.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,85.6616412313703,18700101,290196,39_20190630
NM,15.66452945567588,20190630,155735,195582,ALABAMA,30637.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,79.62644824165824,19040504,164945,41_20190630
NM,10.141685811880588,20190630,265244,296854,ALABAMA,30106.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,89.35166782323971,19070101,266749,46_20190630
NM,15.79160338497479,20190630,293591,370697,ALABAMA,58539.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,79.19972376361287,19060106,312158,47_20190630
NM,13.821536589899127,20190630,50751,59183,ALABAMA,8180.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,85.7526654613656,19320901,51003,49_20190630
NM,10.966329966329965,20190630,126999,148500,ALABAMA,16285.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,85.52121212121212,19080317,132215,50_20190630
NM,16.054743632381825,20190630,133076,159361,ALABAMA,25585.0,BANK OF VERNON,VERNON,99991231,51,83.50600209587039,19111111,133776,51_20190630
NM,23.551836201407436,20190630,144411,241858,ALABAMA,56962.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,59.70900280329781,19200522,184896,52_20190630
NM,14.207460067997793,20190630,241389,284421,ALABAMA,40409.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,84.87031548303395,19090310,244012,54_20190630
NM,9.203159390875264,20190630,591191,659241,ALABAMA,60671.0,UNITED BANK,ATMORE,99991231,58,89.67752309094853,19040104,598570,58_20190630
NM,14.602664677958325,20190630,59362,69727,ALABAMA,10182.0,PEOPLES EXCHANGE BANK,MONROEVILLE,99991231,70,85.13488318728757,19070823,59545,70_20190630
SM,10.852420102078446,20190630,283983,322693,ALABAMA,35020.0,CENTRAL STATE BANK,CALERA,99991231,72,88.00407817957006,19160205,287673,72_20190630
NM,20.315309547800236,20190630,142529,179633,ALABAMA,36493.0,BANKSOUTH,DOTHAN,99991231,77,79.3445525042726,19280101,143140,77_20190630
