BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,8.935368821039297,20220930,165812000,300010000,MASSACHUSETTS,26807000.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,81.29295690143663,17920101,273203000,14_20220930
SM,5.524357599914772,20220930,979725,1041913,ALABAMA,57559.0,AUBURNBANK,AUBURN,99991231,35,94.03136346316823,19070103,984354,35_20220930
NM,7.717054415630272,20220930,398515,433313,ALABAMA,33439.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,91.96931548326498,18700101,399874,39_20220930
NM,-2.8695721432282877,20220930,263236,263663,ALABAMA,-7566.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,99.8380508452077,19040504,271229,41_20220930
NM,6.5171806054056844,20220930,72439,77733,ALABAMA,5066.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,93.18950767370357,19320901,72667,49_20220930
NM,6.130414904560521,20220930,161384,174980,ALABAMA,10727.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,92.22996913933021,19080317,164253,50_20220930
NM,16.242445661777698,20220930,236462,282950,ALABAMA,45958.0,BANK OF VERNON,VERNON,99991231,51,83.57024209224244,19111111,236992,51_20220930
NM,7.176886327240875,20220930,224475,299113,ALABAMA,21467.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,75.04688863406138,19200522,277646,52_20220930
NM,8.670149031646709,20220930,344710,383073,ALABAMA,33213.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,89.98545969045064,19090310,349860,54_20220930
NM,5.874288864940729,20220930,1105998,1197030,ALABAMA,70317.0,UNITED BANK,ATMORE,99991231,58,92.39517806571264,19040104,1126713,58_20220930
NM,9.358548592053136,20220930,84639,93647,ALABAMA,8764.0,PEOPLES EXCHANGE BANK,MONROEVILLE,99991231,70,90.38089848046387,19070823,84883,70_20220930
SM,7.710301598837209,20220930,482666,528384,ALABAMA,40740.0,CENTRAL STATE BANK,CALERA,99991231,72,91.34758054748062,19160205,487644,72_20220930
NM,17.225155715554983,20220930,179309,217223,ALABAMA,37417.0,BANKSOUTH,DOTHAN,99991231,77,82.5460471497033,19280101,179806,77_20220930
SM,10.05912185827566,20220930,124998,142756,ARKANSAS,14360.0,WARREN BANK&TRUST CO,WARREN,99991231,81,87.56059289977304,19011231,128396,81_20220930
NM,9.650193635292137,20220930,690953,807704,ARKANSAS,77945.0,GENERATIONS BANK,ROGERS,99991231,88,85.54532353436407,19071008,729759,88_20220930
NM,10.415474296693386,20220930,794848,934763,ARKANSAS,97360.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,85.03203485803354,19330818,837403,89_20220930
SM,3.655277531828528,20220930,228040,247341,ARKANSAS,9041.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,92.19660307025524,19130101,238300,90_20220930
NM,9.288679421954493,20220930,54989,64078,ARKANSAS,5952.0,RIVERSIDE BANK,SPARKMAN,99991231,93,85.81572458566123,19160101,58126,93_20220930
SM,4.500595615919031,20220930,104630,115007,ARKANSAS,5176.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,90.97707096089803,18900101,109831,94_20220930
NM,13.436338982226356,20220930,132050,164457,ARKANSAS,22097.0,BANK OF DELIGHT,DELIGHT,99991231,99,80.29454507865277,19110616,142360,99_20220930
SM,4.095462218005742,20220930,141792,162326,ARKANSAS,6648.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,87.35014723457734,19060701,155678,105_20220930
NM,5.011166309648603,20220930,41079,43882,ARKANSAS,2199.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,93.61241511325828,18900101,41683,107_20220930
NM,11.510838922912415,20220930,227220,257175,ARKANSAS,29603.0,HORATIO STATE BANK,HORATIO,99991231,109,88.35228929717118,19050505,227572,109_20220930
NM,17.304831531146988,20220930,20401876,26232119,ARKANSAS,4539424.0,BANK OZK,LITTLE ROCK,99991231,110,77.7744108281912,19030303,21689575,110_20220930
N,12.109592340881946,20220930,8765663,10345212,FLORIDA,1252763.0,SEACOAST NATIONAL BANK,STUART,99991231,131,84.73159370731118,19330101,9092345,131_20220930
