BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,8.457768980022163,20021231,275911,371812,MAINE,31447.0,UNION TRUST CO,ELLSWORTH,,9,74.207126182049,19070101,340365,9_20021231
SM,6.372539981640919,20021231,16308148,79620544,MASSACHUSETTS,5073851.0,STATE STREET BANK&TRUST CO,BOSTON,99991231.0,14,57.9901953445583,17920101,74546693,14_20021231
SM,7.402411901152636,20021231,395654,502674,ALABAMA,37210.0,AUBURNBANK,AUBURN,99991231.0,35,78.70985967048226,19070103,465464,35_20021231
NM,10.782963034830697,20021231,164715,206140,ALABAMA,22228.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231.0,39,79.90443387988746,18700101,183912,39_20021231
NM,14.408056681298728,20021231,81704,106843,ALABAMA,15394.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231.0,41,76.47108373969283,19040504,91449,41_20021231
NM,8.049892808419411,20021231,116246,128275,ALABAMA,10326.0,MERCHANTS BANK,HANCEVILLE,20220105.0,46,90.62249074254531,19070101,117949,46_20021231
NM,11.723645568988845,20021231,260163,320762,ALABAMA,37605.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701.0,47,81.10779955231605,19060106,283157,47_20021231
NM,7.427294818531002,20021231,23369,25514,ALABAMA,1895.0,BANK OF EVERGREEN,EVERGREEN,99991231.0,49,91.59285098377362,19320901,23619,49_20021231
NM,8.288360075820686,20021231,66025,82827,ALABAMA,6865.0,COMMUNITY SPIRIT BANK,RED BAY,99991231.0,50,79.71434435630893,19080317,75962,50_20021231
NM,8.885533250429324,20021231,79916,101322,ALABAMA,9003.0,BANK OF VERNON,VERNON,99991231.0,51,78.8732950395768,19111111,92319,51_20021231
NM,17.6354038118744,20021231,91685,145860,ALABAMA,25723.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231.0,52,62.85822021116139,19200522,120137,52_20021231
NM,7.538867169742704,20021231,151641,164985,ALABAMA,12438.0,PEOPLES COMMUNITY BANK,COLUMBIA,20050413.0,53,91.91199199927266,19121021,152547,53_20021231
NM,10.954230251934487,20021231,139954,171751,ALABAMA,18814.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231.0,54,81.48657067498878,19090310,152937,54_20021231
NM,9.662009197028652,20021231,460051,565400,ALABAMA,54629.0,COMMUNITY BANK,BLOUNTSVILLE,20061107.0,57,81.3673505482844,19230723,510771,57_20021231
NM,10.092835039276363,20021231,185307,231055,ALABAMA,23320.0,UNITED BANK,ATMORE,99991231.0,58,80.20038518967345,19040104,207735,58_20021231
NM,14.401789106482921,20021231,98335,115812,ALABAMA,16679.0,CITIZENS BANK,GENEVA,20130101.0,59,84.9091631264463,19010101,99133,59_20021231
NM,13.197495560539238,20021231,102023,119947,ALABAMA,15830.0,BANKTRUST OF BREWTON,BREWTON,20031101.0,60,85.05673339058085,19120205,104117,60_20021231
NM,15.207222293005223,20021231,44879,54941,ALABAMA,8355.0,PEACHTREE BANK,MAPLESVILLE,20140228.0,68,81.68580841266085,19190919,46586,68_20021231
NM,8.0,20021231,60029,65475,ALABAMA,5238.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,99991231.0,70,91.68232149675448,19070823,60237,70_20021231
SM,12.970965506028529,20021231,99063,116861,ALABAMA,15158.0,CENTRAL STATE BANK,CALERA,99991231.0,72,84.7699403564919,19160205,101703,72_20021231
NM,11.915610961572028,20021231,138901,217706,ALABAMA,25941.0,BANKSOUTH,DOTHAN,99991231.0,77,63.80210007992431,19280101,191765,77_20021231
SM,13.49860953103274,20021231,102498,126576,ARKANSAS,17086.0,WARREN BANK&TRUST CO,WARREN,99991231.0,81,80.97743648084945,19011231,109490,81_20021231
NM,9.091863149793605,20021231,25894,28586,ARKANSAS,2599.0,MADISON BANK&TRUST,KINGSTON,20030930.0,85,90.582802770587,19110407,25987,85_20021231
NM,12.496805520061335,20021231,27180,31304,ARKANSAS,3912.0,MARKED TREE BANK,MARKED TREE,20030430.0,86,86.82596473294147,19320310,27391,86_20021231
NM,10.120372243576774,20021231,34543,39544,ARKANSAS,4002.0,CALHOUN COUNTY BANK,HAMPTON,99991231.0,88,87.3533279384989,19071008,35542,88_20021231
NM,9.818137134431064,20021231,75935,89518,ARKANSAS,8789.0,FIRST BANK OF SOUTH ARKANSAS,CAMDEN,99991231.0,89,84.82651533769744,19330818,80729,89_20021231
NM,8.952382173444793,20021231,139943,155992,ARKANSAS,13965.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231.0,90,89.71165187958357,19130101,142027,90_20021231
SM,10.698773821834836,20021231,89664,101535,ARKANSAS,10863.0,ALLIED BANK,MULBERRY,20160923.0,91,88.30846506130891,19020304,90672,91_20021231
NM,7.219256242317501,20021231,139731,163521,ARKANSAS,11805.0,DELTA TRUST&BANK,PARKDALE,20141025.0,92,85.45140991065368,19100201,151716,92_20021231
