BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,9.164505020734264,20130930,54272331,212689010,MASSACHUSETTS,19491895.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,74.19065564318532,17920101,192967115,14_20130930
SM,9.686021620823631,20130930,651707,745115,ALABAMA,72172.0,AUBURNBANK,AUBURN,99991231,35,87.463948518014,19070103,672943,35_20130930
NM,10.539331919780206,20130930,220238,255149,ALABAMA,26891.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,86.31740669177617,18700101,228258,39_20130930
NM,13.073056217890416,20130930,124545,162724,ALABAMA,21273.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,76.53757282269365,19040504,141451,41_20130930
NM,8.862893962968093,20130930,222702,245518,ALABAMA,21760.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.70699500647609,19070101,223758,46_20130930
NM,11.480834557343208,20130930,283379,352666,ALABAMA,40489.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,80.35336550730719,19060106,312177,47_20130930
NM,9.16886291585501,20130930,47273,52362,ALABAMA,4801.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,90.28111989610787,19320901,47560,49_20130930
NM,9.193346835006679,20130930,122236,139242,ALABAMA,12801.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,87.78673101506729,19080317,126441,50_20130930
NM,14.031628699403697,20130930,123145,145564,ALABAMA,20425.0,BANK OF VERNON,VERNON,99991231,51,84.59852710835096,19111111,125139,51_20130930
NM,21.16058394160584,20130930,134603,191800,ALABAMA,40586.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,70.17883211678833,19200522,151214,52_20130930
NM,10.81776868161088,20130930,217703,248212,ALABAMA,26851.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,87.7084911285514,19090310,221361,54_20130930
NM,9.80446323975374,20130930,431127,481444,ALABAMA,47203.0,UNITED BANK,ATMORE,99991231,58,89.54873256287335,19040104,434241,58_20130930
NM,10.184474885844748,20130930,46723,54750,ALABAMA,5576.0,PEACHTREE BANK,MAPLESVILLE,20140228,68,85.33881278538813,19190919,49174,68_20130930
NM,12.80506641952425,20130930,56216,64740,ALABAMA,8290.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,99991231,70,86.83348779734322,19070823,56450,70_20130930
SM,12.113874418243011,20130930,155606,180058,ALABAMA,21812.0,CENTRAL STATE BANK,CALERA,99991231,72,86.41993135545214,19160205,158246,72_20130930
NM,18.863462831485258,20130930,141579,175498,ALABAMA,33105.0,BANKSOUTH,DOTHAN,99991231,77,80.67271421896545,19280101,142393,77_20130930
SM,13.26621694786286,20130930,110244,136678,ARKANSAS,18132.0,WARREN BANK&TRUST CO,WARREN,99991231,81,80.65965261417347,19011231,118546,81_20130930
NM,10.253659792406978,20130930,215971,256367,ARKANSAS,26287.0,FIRST BANK,HAMPTON,99991231,88,84.24290177752987,19071008,230080,88_20130930
NM,11.007197336351153,20130930,389019,488653,ARKANSAS,53787.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,79.61048023853327,19330818,434866,89_20130930
NM,7.315427775370625,20130930,155404,182327,ARKANSAS,13338.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,85.23367356452967,19130101,168989,90_20130930
SM,8.461645165765017,20130930,119722,144180,ARKANSAS,12200.0,ALLIED BANK,MULBERRY,20160923,91,83.03648217505895,19020304,131980,91_20130930
