BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,5.782937884576529,19980630,12553371,42484392,MASSACHUSETTS,2456846.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,69.47243590069502,17920101,40027546,14_19980630
NM,52.11717466691002,19980630,100,10958,MASSACHUSETTS,5711.0,EASTERN BANK&TRUST CO,SALEM,20021122,28,0.9125752874612156,18030101,5247,28_19980630
SM,8.472667148909787,19980630,229160,290310,ALABAMA,24597.0,AUBURNBANK,AUBURN,99991231,35,78.93630946229892,19070103,265713,35_19980630
NM,9.989718280896566,19980630,125280,145890,ALABAMA,14574.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,85.87291795188156,18700101,131316,39_19980630
NM,13.84472317358071,19980630,75450,88178,ALABAMA,12208.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,85.56556057066388,19040504,75970,41_19980630
NM,15.865620402157921,19980630,10201,12234,ALABAMA,1941.0,BANK OF BERRY,BERRY,20020401,43,83.3823769821808,19110101,10293,43_19980630
NM,13.204438629645782,19980630,154092,185733,ALABAMA,24525.0,JACOBS BANK,SCOTTSBORO,19991105,45,82.96425514044354,19090101,161208,45_19980630
NM,6.711547779828242,19980630,88862,96997,ALABAMA,6510.0,MERCHANTS BANK,HANCEVILLE,20220105,46,91.6131426745157,19070101,90487,46_19980630
NM,10.373535585597384,19980630,237139,267257,ALABAMA,27724.0,TRADERS&FARMERS BANK,HALEYVILLE,20200701,47,88.7306974185896,19060106,239533,47_19980630
NM,8.91194968553459,19980630,14352,15900,ALABAMA,1417.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,90.26415094339623,19320901,14483,49_19980630
NM,8.756521852271101,19980630,67242,76857,ALABAMA,6730.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,87.48975369842695,19080317,70127,50_19980630
NM,10.249425135843696,19980630,56845,68277,ALABAMA,6998.0,BANK OF VERNON,VERNON,99991231,51,83.25644067548369,19111111,61279,51_19980630
NM,17.952090277498893,19980630,79424,99604,ALABAMA,17881.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,79.73976948716918,19200522,81723,52_19980630
NM,6.876383295236021,19980630,126908,137805,ALABAMA,9476.0,PEOPLES COMMUNITY BANK,COLUMBIA,20050413,53,92.09244947570842,19121021,128329,53_19980630
NM,10.114311770810403,19980630,102929,127196,ALABAMA,12865.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,80.92156986068744,19090310,114331,54_19980630
NM,7.61893080218142,19980630,479732,529930,ALABAMA,40375.0,COMMUNITY BANK,BLOUNTSVILLE,20061107,57,90.52742815088786,19230723,489555,57_19980630
NM,7.913233417677717,19980630,153990,184956,ALABAMA,14636.0,UNITED BANK,ATMORE,99991231,58,83.25763965483682,19040104,170320,58_19980630
NM,13.900301287318543,19980630,75095,87624,ALABAMA,12180.0,CITIZENS BANK,GENEVA,20130101,59,85.70140600748654,19010101,75444,59_19980630
N,12.381268443192724,19980630,95569,111491,ALABAMA,13804.0,FIRST NATIONAL BANK,BREWTON,20031101,60,85.71902664789086,19120205,97687,60_19980630
NM,16.507605129734564,19980630,16673,20118,ALABAMA,3321.0,BANK OF PARRISH,PARRISH,20020509,63,82.87603141465354,19190519,16797,63_19980630
NM,11.306028577020943,19980630,36076,40872,ALABAMA,4621.0,COMMERCIAL BK OF ROANOKE AL,ROANOKE,19981019,64,88.26580544137796,19310512,36251,64_19980630
NM,11.31858152258179,19980630,39041,45147,ALABAMA,5110.0,PEACHTREE BANK,MAPLESVILLE,20140228,68,86.47529182448446,19190919,40037,68_19980630
NM,11.558901682905226,19980630,27802,31612,ALABAMA,3654.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,99991231,70,87.94761482981146,19070823,27958,70_19980630
SM,12.231418777694172,19980630,70881,83727,ALABAMA,10241.0,CENTRAL STATE BANK,CALERA,99991231,72,84.65727901393817,19160205,73486,72_19980630
NM,10.112229750414436,19980630,129309,173127,ALABAMA,17507.0,BANK OF THE SOUTH,DOTHAN,99991231,77,74.69025628584797,19280101,155620,77_19980630
NM,99.0378915690119,19980630,0,21931,ARKANSAS,21720.0,HORIZON BANK,MALVERN,19980701,80,0.0,18890624,211,80_19980630
NM,14.242891256118007,19980630,99597,118094,ARKANSAS,16820.0,WARREN BANK&TRUST CO,WARREN,99991231,81,84.33705353362576,19011231,101274,81_19980630
SM,7.557137132794894,19980630,473041,544042,ARKANSAS,41114.0,BANK OF BENTONVILLE,BENTONVILLE,20020307,100,86.94935317493871,19310225,502928,100_19980630
NM,9.304416574945355,19980630,57985,64507,ARKANSAS,6002.0,BANK OF PRESCOTT,PRESCOTT,20191109,101,89.88946935991443,19040810,58505,101_19980630
SM,11.391996557659208,19980630,65334,74368,ARKANSAS,8472.0,RIVER VALLEY BANK&TRUST,LAVACA,19990604,103,87.85230206540447,19100505,65896,103_19980630
NM,10.09194720450838,19980630,60051,67430,ARKANSAS,6805.0,COMMERCIAL BANK AT ALMA,ALMA,19991022,104,89.05679964407534,19090101,60625,104_19980630
NM,8.869891576313595,19980630,43166,47960,ARKANSAS,4254.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,90.00417014178483,19060701,43706,105_19980630
NM,11.880216003927343,19980630,23139,26481,ARKANSAS,3146.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,87.37963067859975,18900101,23335,107_19980630
NM,14.719492609630619,19980630,61444,73474,ARKANSAS,10815.0,BANK OF ELKINS,ELKINS,20081124,108,83.62686120260227,19120601,62659,108_19980630
NM,11.236278328611899,19980630,39927,45184,ARKANSAS,5077.0,HORATIO STATE BANK,HORATIO,99991231,109,88.36535056657225,19050505,40107,109_19980630
NM,7.967562620496163,19980630,117224,133303,ARKANSAS,10621.0,BANK OF THE OZARKS NWA,JASPER,99991231,110,87.93800589634142,19030303,122682,110_19980630
N,7.990839367652752,19980630,866662,971112,FLORIDA,77600.0,FIRST NB&T CO TREASURE COAST,STUART,99991231,131,89.24428902124575,19330101,893512,131_19980630
SM,7.199784179714539,19980630,1749145,2672594,FLORIDA,192421.0,SUNTRUST BANK TAMPA BAY,TAMPA,20000101,132,65.44746414906267,19140701,2480173,132_19980630
NM,9.707724425887266,19980630,103516,114960,FLORIDA,11160.0,PERKINS STATE BANK,WILLISTON,20130118,134,90.04523312456506,19130801,103800,134_19980630
NM,8.54585953294249,19980630,424182,583183,FLORIDA,49838.0,SUNTRUST BANK WEST FLORIDA,PENSACOLA,20000101,146,72.73565930419782,19321231,533345,146_19980630
NM,10.418883166527007,19980630,94730,106211,GEORGIA,11066.0,CENTURY BANK&TRUST,MILLEDGEVILLE,99991231,147,89.19038517667661,18980101,95145,147_19980630
NM,10.152748680686308,19980630,63178,75418,GEORGIA,7657.0,BANK OF MADISON,MADISON,99991231,148,83.77045267707975,18900101,67761,148_19980630
NM,7.803281114173155,19980630,49048,54067,GEORGIA,4219.0,BANK OF HAZLEHURST,HAZLEHURST,99991231,149,90.71707326095401,19060101,49848,149_19980630
NM,6.494645774094017,19980630,219126,297522,GEORGIA,19323.0,HABERSHAM BANK,CLARKESVILLE,20110218,151,73.65035190674976,19040513,278199,151_19980630
NM,12.9915163675223,19980630,39515,45853,GEORGIA,5957.0,BANK OF ALAPAHA,ALAPAHA,99991231,155,86.17756744378777,19050325,39896,155_19980630
NM,9.63937341457674,19980630,34301,38239,GEORGIA,3686.0,MONROE COUNTY BANK,FORSYTH,20140731,156,89.70161353591882,19081015,34553,156_19980630
NM,10.851827676240209,19980630,32274,36768,GEORGIA,3990.0,BANK OF MILAN,MILAN,19990101,157,87.77741514360314,19061201,32778,157_19980630
NM,7.741688956820787,19980630,57380,65425,GEORGIA,5065.0,UNITED BANKING CO,NASHVILLE,20030627,158,87.70347726404279,19240715,60360,158_19980630
NM,12.795267360675613,19980630,41470,47838,GEORGIA,6121.0,SYLVESTER BANKING CO,SYLVESTER,20040228,159,86.68840670596597,18980101,41717,159_19980630
NM,10.70882369779101,19980630,91774,122273,GEORGIA,13094.0,EXCHANGE BANK,MILLEDGEVILLE,99991231,160,75.05663556140767,19030601,109179,160_19980630
SB,8.417302471321722,19980630,83859,93189,GEORGIA,7844.0,FAIRBURN BANKING CO,FAIRBURN,20040601,161,89.98808872291794,19020101,85345,161_19980630
N,10.686723820619758,19980630,168060,193979,GEORGIA,20730.0,FIRST NB OF GRIFFIN,GRIFFIN,99991231,169,86.63824434603747,19330512,173249,169_19980630
NM,11.740943445400053,19980630,13488,15348,GEORGIA,1802.0,PEOPLES BANK OF TALBOTTON,TALBOTTON,99991231,170,87.88115715402658,18910101,13546,170_19980630
NM,10.03012144200427,19980630,334863,376476,GEORGIA,37761.0,UNITED BANK,ZEBULON,99991231,172,88.94670576610461,19050131,338715,172_19980630
NM,7.2753592908203615,19980630,61793,67007,GEORGIA,4875.0,PEOPLES BANK,LITHONIA,20150206,173,92.21872341695644,19100101,62132,173_19980630
NM,13.991943605236656,19980630,42480,49650,GEORGIA,6947.0,COMMERCIAL BANK,CRAWFORD,99991231,175,85.55891238670695,19240905,42703,175_19980630
NM,8.504092413072502,19980630,28315,34454,GEORGIA,2930.0,TALBOT STATE BANK,WOODLAND,99991231,178,82.18203982121089,19071125,31524,178_19980630
NM,8.592576239797388,19980630,142231,163071,GEORGIA,14012.0,PEOPLES BANK,WINDER,20100917,182,87.22029054828879,19261030,149059,182_19980630
NM,19.057647836141395,19980630,38854,48432,GEORGIA,9230.0,MERCHANTS&CITIZENS BANK,MCRAE,99991231,183,80.22381896266931,19290223,39202,183_19980630
NM,7.542469493743931,19980630,124028,142102,GEORGIA,10718.0,CITIZENS BANK,VIENNA,20061209,186,87.28096719257998,19310701,131384,186_19980630
NM,9.211024729883295,19980630,97822,110878,GEORGIA,10213.0,CORDELE BANKING CO,CORDELE,20000824,189,88.22489583145439,19270615,100665,189_19980630
NM,7.961893742459248,19980630,237605,262739,GEORGIA,20919.0,COMMERCIAL BANK,THOMASVILLE,20100601,190,90.43385260657915,19160722,241820,190_19980630
N,9.832285571338453,19980630,95980,137913,GEORGIA,13560.0,FIRST NB OF WEST POINT,WEST POINT,20010303,192,69.59459949388382,19060113,124353,192_19980630
NM,10.469657949511392,19980630,171483,198421,GEORGIA,20774.0,HERITAGE BANK,HINESVILLE,20190901,193,86.4238160275374,19111115,177647,193_19980630
NM,10.07919366450684,19980630,19766,22224,GEORGIA,2240.0,BANK OF WADLEY,WADLEY,19990301,194,88.93988480921526,19020101,19984,194_19980630
NM,10.747446042284231,19980630,36199,40819,INDIANA,4387.0,CITIZENS EXCHANGE BANK,FAIRMOUNT,20160401,195,88.68174134594184,18930715,36432,195_19980630
NM,8.557178662750955,19980630,65472,78998,INDIANA,6760.0,PEOPLES STB OF FRANCESVILLE,FRANCESVILLE,99991231,197,82.87804754550748,19300703,72238,197_19980630
NM,12.32567988625707,19980630,57718,66114,INDIANA,8149.0,FIRST UNITED BANK,MIDDLETOWN,20060101,202,87.30072299361709,18820518,57965,202_19980630
NM,8.413790087144779,19980630,79937,91457,INDIANA,7695.0,ORANGE COUNTY BANK,PAOLI,20010308,204,87.40391659468384,18860327,83762,204_19980630
NM,10.644078631932235,19980630,96999,112626,INDIANA,11988.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,99991231,210,86.12487347504128,18921007,100638,210_19980630
NM,7.299537329827248,19980630,25658,30043,IOWA,2193.0,MILLS COUNTY STATE BANK,GLENWOOD,20080209,212,85.4042539027394,18830101,27850,212_19980630
NM,11.520185116317508,19980630,42274,48402,IOWA,5576.0,POSTVILLE STATE BANK,POSTVILLE,20060331,213,87.33936614189496,18721025,42826,213_19980630
SM,12.160613802059022,19980630,98994,117823,IOWA,14328.0,WASHINGTON STATE BANK,WASHINGTON,99991231,214,84.01924921280225,19320418,103495,214_19980630
NM,13.121619973163096,19980630,21172,24593,IOWA,3227.0,RIPPEY SAVINGS BANK,RIPPEY,20010518,215,86.08953767332169,19050301,21366,215_19980630
