BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,4.795398570835952,19920630,6298528,16999588,MASSACHUSETTS,815198,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,62.4868908587667,17920101,16184390,14_19920630
NM,4.56075405239436,19920630,311884,345228,MASSACHUSETTS,15745,DURFEE ATTLEBORO BANK,FALL RIVER,19921001,20,90.34145550187122,18870316,329483,20_19920630
NM,44.01960784313725,19920630,100,5100,MASSACHUSETTS,2245,EASTERN BANK&TRUST CO,SALEM,20021122,28,1.9607843137254901,18030101,2855,28_19920630
NM,9.504854309612695,19920630,289467,327338,ARKANSAS,31113,BANK OF BENTONVILLE,BENTONVILLE,20020307,100,88.43061300551723,19310225,296225,100_19920630
NM,7.7815940114487,19920630,51249,56775,ARKANSAS,4418,BANK OF PRESCOTT,PRESCOTT,20191109,101,90.26684280052841,19040810,52357,101_19920630
NM,6.674554889922018,19920630,97607,107333,ARKANSAS,7164,SECURITY BANK,PARAGOULD,19960201,102,90.93848117540738,19310205,100169,102_19920630
SM,9.526724566706202,19920630,46900,52274,ARKANSAS,4980,CITIZENS BANK OF LAVACA,LAVACA,19990604,103,89.71955465432147,19100505,47294,103_19920630
NM,8.206550251067975,19920630,36424,40029,ARKANSAS,3285,COMMERCIAL BANK AT ALMA,ALMA,19991022,104,90.99402932873667,19090101,36744,104_19920630
NM,7.657619088392272,19920630,32140,35037,ARKANSAS,2683,BANK OF CAVE CITY,CAVE CITY,99991231,105,91.73159802494506,19060701,32354,105_19920630
NM,9.320222317229586,19920630,21094,23390,ARKANSAS,2180,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,90.18383924754168,18900101,21210,107_19920630
NM,8.51575864768477,19920630,31445,34489,ARKANSAS,2937,BANK OF ELKINS,ELKINS,20081124,108,91.17399750645133,19120601,31552,108_19920630
NM,8.997775619536954,19920630,28877,31919,ARKANSAS,2872,HORATIO STATE BANK,HORATIO,99991231,109,90.46962624142361,19050505,29047,109_19920630
NM,8.031114253965047,19920630,36185,39596,ARKANSAS,3180,NEWTON COUNTY BANK,JASPER,99991231,110,91.38549348419033,19030303,36416,110_19920630
NM,10.007781582635886,19920630,750491,840446,CALIFORNIA,84110,SANTA MONICA BANK,SANTA MONICA,19980127,114,89.29675434233728,19280203,756336,114_19920630
NM,6.622715013485167,19920630,46400,50055,FLORIDA,3315,BANK OF MADISON COUNTY,MADISON,19951229,127,92.69803216461892,19050805,46740,127_19920630
NM,11.347314447682288,19920630,484312,565191,FLORIDA,64134,PEOPLES BANK OF LAKELAND,LAKELAND,19960123,130,85.6899702932283,19310219,501057,130_19920630
N,7.00284002952158,19920630,544574,597529,FLORIDA,41844,FIRST NB&T CO TREASURE COAST,STUART,99991231,131,91.13766863198272,19330101,555685,131_19920630
SM,7.163560150623477,19920630,1410066,1609842,FLORIDA,115322,SUN BANK OF TAMPA BAY,TAMPA,20000101,132,87.59033495212574,19140701,1494520,132_19920630
N,7.363633133618539,19920630,1323514,1519834,FLORIDA,111915,BARNETT BANK OF TAMPA NA,TAMPA,19930319,133,87.08279983208692,19260926,1407919,133_19920630
NM,9.39614517121181,19920630,70226,78032,FLORIDA,7332,PERKINS STATE BANK,WILLISTON,20130118,134,89.99641172852164,19130801,70700,134_19920630
SM,10.240007813072246,19920630,36165,40957,FLORIDA,4194,FIRST BANK OF CRESTVIEW,CRESTVIEW,19950922,138,88.29992431086261,19180101,36763,138_19920630
NM,7.636289493064559,19920630,282434,328602,FLORIDA,25093,BARNETT BANK OF WEST FLORIDA,PENSACOLA,19960629,144,85.95017680963596,19140703,303509,144_19920630
NM,8.022830280370124,19920630,552081,604986,FLORIDA,48537,SUN BANK&TRUST CO,BROOKSVILLE,19950512,145,91.25516954111335,19050608,556449,145_19920630
NM,8.365803020391912,19920630,188032,210966,FLORIDA,17649,SUN COMMERCIAL BANK,PANAMA CITY,20000101,146,89.12905397078202,19321231,193317,146_19920630
NM,10.98236888180125,19920630,79253,89671,GEORGIA,9848,CENTURY BANK&TRUST,MILLEDGEVILLE,99991231,147,88.38197410534063,18980101,79823,147_19920630
NM,9.286768556872827,19920630,37593,42006,GEORGIA,3901,BANK OF MADISON,MADISON,99991231,148,89.49435794886445,18900101,38105,148_19920630
NM,7.149512087480998,19920630,36417,40786,GEORGIA,2916,BANK OF HAZLEHURST,HAZLEHURST,99991231,149,89.28799097729613,19060101,37870,149_19920630
NM,7.790880307147666,19920630,144352,160444,GEORGIA,12500,HABERSHAM BANK,CLARKESVILLE,20110218,151,89.97033232779039,19040513,147944,151_19920630
