ZIP,BKCLASS,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2111,SM,20201231,157691000,311181000,MASSACHUSETTS,26203000.0,STATE STREET BANK&TRUST CO,BOSTON,1 LINCOLN ST,99991231,14,17920101,284978000,14_20201231
36830,SM,20201231,843841,956496,ALABAMA,103696.0,AUBURNBANK,AUBURN,132 N. GAY ST.,99991231,35,19070103,852800,35_20201231
36732,NM,20201231,335681,373358,ALABAMA,35344.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,338014,39_20201231
36867,NM,20201231,191479,234399,ALABAMA,37160.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,197239,41_20201231
35055,NM,20201231,334722,371149,ALABAMA,34934.0,MERCHANTS BANK OF ALABAMA,CULLMAN,900 2ND AVE SW,20220105,46,19070101,336216,46_20201231
36401,NM,20201231,59366,68514,ALABAMA,9035.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,59479,49_20201231
35582,NM,20201231,145559,167400,ALABAMA,17369.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,150031,50_20201231
35592,NM,20201231,177376,205878,ALABAMA,27404.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,178474,51_20201231
35594,NM,20201231,173421,283477,ALABAMA,62816.0,CITIZENS BANK OF WINFIELD,WINFIELD,236 BANKHEAD HWY.,99991231,52,19200522,220661,52_20201231
35952,NM,20201231,285779,334296,ALABAMA,45444.0,EXCHANGE BANK OF ALABAMA,ALTOONA,7170 6TH AVE,99991231,54,19090310,288852,54_20201231
36502,NM,20201231,875740,972073,ALABAMA,82607.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,889466,58_20201231
36460,NM,20201231,72060,83377,ALABAMA,11178.0,PEOPLES EXCHANGE BANK,MONROEVILLE,2013 HWY. 21 BYPASS,99991231,70,19070823,72199,70_20201231
35040,SM,20201231,358738,404602,ALABAMA,41652.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,362950,72_20201231
36303,NM,20201231,156899,195530,ALABAMA,37981.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231,77,19280101,157549,77_20201231
71671,SM,20201231,106767,134131,ARKANSAS,24315.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231,81,19011231,109816,81_20201231
72758,NM,20201231,544876,699329,ARKANSAS,67140.0,GENERATIONS BANK,ROGERS,3710 W SOUTHERN HILLS BLVD,99991231,88,19071008,632189,88_20201231
72703,NM,20201231,629249,749590,ARKANSAS,82917.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,"3878 N. CROSSOVER RD, # 20",99991231,89,19330818,666673,89_20201231
71655,SM,20201231,217511,240291,ARKANSAS,22550.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231,90,19130101,217741,90_20201231
71763,NM,20201231,52467,61327,ARKANSAS,5687.0,RIVERSIDE BANK,SPARKMAN,103 W MAIN ST,99991231,93,19160101,55640,93_20201231
71671,SM,20201231,108822,122171,ARKANSAS,13099.0,FIRST STATE BANK OF WARREN,WARREN,104 S MAIN ST.,99991231,94,18900101,109072,94_20201231
71940,NM,20201231,125484,157473,ARKANSAS,19481.0,BANK OF DELIGHT,DELIGHT,503 E ANTIOCH ST,99991231,99,19110616,137992,99_20201231
72521,SM,20201231,125327,148855,ARKANSAS,13017.0,BANK OF CAVE CITY,CAVE CITY,137 S MAIN ST.,99991231,105,19060701,135838,105_20201231
