ZIP,BKCLASS,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
62618,NM,20080331,41050,54198,ILLINOIS,6074.0,FIRST STB OF BEARDSTOWN IL,BEARDSTOWN,122 S. STATE ST.,20091002,12547,18890216,48124,12547_20080331
62047,NM,20080331,51839,59134,ILLINOIS,4832.0,BANK OF CALHOUN COUNTY,HARDIN,PARK &MAIN ST.,99991231,12549,18980101,54302,12549_20080331
61569,NM,20080331,283432,365016,ILLINOIS,28841.0,HERITAGE BANK OF CENTRAL IL,TRIVOLI,615 N. TRIVOLI AVE.,20160708,12554,19200420,336175,12554_20080331
73746,NM,20080331,18223,22577,OKLAHOMA,4241.0,HOPETON STATE BANK,HOPETON,19495 COUNTY RD 440,99991231,12585,19190101,18336,12585_20080331
82633,NM,20080331,227309,250563,WYOMING,22543.0,CONVERSE COUNTY BANK,DOUGLAS,332 WALNUT ST.,99991231,12591,19180101,228020,12591_20080331
82410,SM,20080331,180625,215590,WYOMING,16746.0,SECURITY STATE BANK,BASIN,201 S. 4TH ST.,99991231,12592,19290601,198844,12592_20080331
81002,NM,20080331,315578,373407,COLORADO,52779.0,PUEBLO BANK&TRUST CO,PUEBLO,301 W. 5TH ST.,99991231,12594,18890101,320628,12594_20080331
66846,NM,20080331,74379,115189,KANSAS,35034.0,FARMERS&DROVERS BANK,COUNCIL GROVE,201 W. MAIN ST.,99991231,12602,18820316,80155,12602_20080331
71457,NM,20080331,161770,185480,LOUISIANA,15676.0,CITY BANK&TRUST CO,NATCHITOCHES,SECOND &ST. DENIS ST.,99991231,12608,19330101,169804,12608_20080331
70392,NM,20080331,165193,181466,LOUISIANA,12762.0,PATTERSON STATE BANK,PATTERSON,1130 HWY. 90 W.,99991231,12609,19250101,168704,12609_20080331
70582,NM,20080331,223016,273785,LOUISIANA,30194.0,ST MARTIN BANK&TRUST CO,ST. MARTINVILLE,301 S. MAIN ST.,20171206,12610,19331203,243591,12610_20080331
70586,NM,20080331,401006,526050,LOUISIANA,79760.0,EVANGELINE BANK&TRUST CO,VILLE PLATTE,497 W. MAIN ST.,99991231,12611,19330101,446290,12611_20080331
71227,NM,20080331,706237,876643,LOUISIANA,67371.0,COMMUNITY TRUST BANK,CHOUDRANT,3921 ELM ST.,99991231,12614,19121123,809272,12614_20080331
65051,NM,20080331,177638,225726,MISSOURI,30256.0,LEGENDS BANK,LINN,200 E. MAIN ST.,99991231,12616,19130317,195470,12616_20080331
64772,NM,20080331,74452,97804,MISSOURI,8294.0,HERITAGE STATE BANK,NEVADA,1625 HEDGES PLAZA,20180602,12617,19110611,89510,12617_20080331
63462,NM,20080331,147214,162911,MISSOURI,14424.0,PERRY STATE BANK,PERRY,103 E. MAIN ST.,20080905,12624,19280524,148487,12624_20080331
63090,NM,20080331,421382,598542,MISSOURI,73390.0,BANK OF WASHINGTON,WASHINGTON,200 W. MAIN ST.,99991231,12627,18771029,525152,12627_20080331
65101,NM,20080331,874752,1641855,MISSOURI,134766.0,CENTRAL TRUST BANK,JEFFERSON CITY,238 MADISON ST.,99991231,12633,19020203,1507089,12633_20080331
68926,NM,20080331,36521,43651,NEBRASKA,6996.0,FIRST STATE BANK,BEAVER CITY,401 9TH ST,20110305,12636,18870125,36655,12636_20080331
